"name","cleanm","cid","tid","MolecularWeight","Complexity"
"Glyburide","Glyburide","3488","D05LYX",494,746
"Tolbutamide","Tolbutamide","5505","D06OIV",270.35,354
"Grayanotoxin III","Grayanotoxin III","11057730","D0YA8J",370.5,623
"Niflumic acid ","Niflumic acid","4488","D00HGB",282.22,349
"nialamide","nialamide","4472",NA,298.34,350
"iproniazid-not available","iproniazid","3748","D08CNS",179.22,164
"phenelzine","phenelzine","3675","D0P9AC",136.19,77
"trazodone","trazodone","5533","D00USF",371.9,611
"mirtazapine","mirtazapine","4205","D05ZIK",265.35,345
"modafinil-- not available","modafinil","4236","D07HQC",273.4,302
"nomifensine","nomifensine","4528","D06BPG",238.33,272
"buproprion","buproprion","3031061",NA,320.65,247
"citalopram","citalopram","2771","D0R6LF; D0Y5DO",324.4,466
"""(R)""-fluoxetine","fluoxetine","3386","D0TR5X",309.33,308
"fluvoxamine","fluvoxamine","5324346","D03HFG",318.33,327
"paroxetine","paroxetine","43815","D06GDY",329.4,402
"zimeldine","zimeldine","5365247","D0C1XS",317.22,293
"tianeptine","tianeptine","68870","D06CVT",437,654
"protriptyline","protriptyline","4976","D00MYQ",263.4,296
"nefazodone","nefazodone","4449","D0X7DE",470,649
"valproic acid","valproic acid","3121","D0Y3KG",144.21,93
"carbamazepine","carbamazepine","2554","D04MSM",236.27,326
"lamotrigine","lamotrigine","3878","D03FLC",256.09,242
"gabapentin","gabapentin","3446","D0J0ZS",171.24,162
"oxcarbazepine","oxcarbazepine","34312","D0QL3P",252.27,382
"prochlorperazine","prochlorperazine","4917","D0B2UZ",373.9,429
"thioridazine","thioridazine","5452","D0U1OE",370.6,432
"triflupromazine","triflupromazine","5568","D05NOS",352.4,416
"haloperidol","haloperidol","3559","D0D1AL",375.9,451
"droperidol","droperidol","3168","D03CJL",379.4,615
"ritanserin","ritanserin","5074","D0K8NW",477.6,877
"harmaline","harmaline","3564",NA,214.26,302
"GBR 12909","GBR 12909","3455","D0N2HF",450.6,498
"fluperlapine","fluperlapine","49381","D0F8TG",309.4,444
"quipazine dimaleate","quipazine dimaleate","6420043",NA,445.4,344
"MDL-72222","MDL-72222","1683",NA,314.2,355
"pizotifen malate","pizotifen malate","168993",NA,429.5,535
"synthalin sulfate","synthalin","71075",NA,329.31,215
"BP 554","BP 554","134117",NA,340.4,394
"CY 208-243","CY 208-243","58144","D0BQ8M",274.4,408
"GBR 12783","GBR 12783","5788723",NA,412.6,477
"A 77636","A 77636","6603703","D0P2YS",329.4,454
"L-741,741","741,741","5029739",NA,380.9,440
"L-741,742","741,742","133008","D0WU9R",380.9,440
"ABT 724","ABT 724","5025739","D03TNA",293.4,355
"apomorphine","apomorphine","6005","D0H6QU",267.32,374
"riluzole","riluzole","5070","D0H0KB",234.2,238
"""(R)""-tomoxetine","tomoxetine","6850813",NA,255.35,237
"reboxetine","reboxetine","127151","D0N8FQ",313.4,333
"milnacipran","milnacipran","65833","D09VGC",246.35,295
"alaproclate","alaproclate","2081",NA,255.74,260
"amitryptyline","amitryptyline","2160","D0Y5UG",277.4,331
"clomipramine","clomipramine","2801","D0ZS8P",314.9,346
"doxepin","doxepin","667477","D06FES",279.4,363
"imipramine","imipramine","3696","D06ZUK",280.4,291
"topiramate","topiramate","5284627","D07VDZ",339.36,556
"chlorpromazine","chlorpromazine","2726","D01ZII",318.9,339
"fluphenazine","fluphenazine","3372","D0P5SA",437.5,544
"perphenazine","perphenazine","4748","D02HED",404,463
"clozapine","clozapine","135398737","D0Z1RV",326.8,446
"n-methylquipazine dimaleate","n-methylquipazine dimaleate","11957670",NA,459.4,367
"CGS 12066B dimaleate","CGS 12066B dimaleate","9915956","D0Q1ER",566.5,569
"clothiapine","clothiapine","16351","D0PX8L",343.9,450
"5-nonyloxytryptamine","5-nonyloxytryptamine","1797","D0C3EX",302.5,285
"SB 216641","SB 216641","3292447","D0D9YW",486.6,687
"FG 7142","FG 7142","4375",NA,225.25,307
"GBR 12935","GBR 12935","3456","D07OOI",414.6,440
"Lithium Dilution Series","Lithium Dilution Series","3028194","D5MF8Y",7,0
"staurosporine","staurosporine","44259","D0E3TC",466.5,901
"wortmannin","wortmannin","312145","D0P1JI",428.4,921
"dasatinib","dasatinib","3062316","D0E6XR",488,642
"sorafenib","sorafenib","216239","D0W5HK",464.8,646
"valatanib","valatanib","151194","D0P6DJ",346.8,407
"sunitinib","sunitinib","5329102","D0R0MW; D0YX2B",398.5,636
"imabinib","imabinib","5291","D0AZ3C",493.6,706
"roscovitine","roscovitine","160355","D05ADP",354.4,417
"PD184352","PD184352","6918454","D0B9BU",478.7,472
"PKC412","PKC412","9829523","D07NVU",570.6,1140
"Lestaurtinib","Lestaurtinib","126565","D0V9WF",439.5,886
"LY333531","LY333531","153999","D0W3LI",468.5,872
"Acetylcholine chloride ","Acetylcholine","187","D0Q9HF",146.21,115
"(?)-Norepinephrine ","Norepinephrine","439260","D07MOX",169.18,142
"Dopamine hydrochloride  ","Dopamine","681","D0T7OW",153.18,119
"Serotonin hydrochloride ","Serotonin","5202","D0F6CD",176.21,174
"?-Aminobutyric acid ","Aminobutyric acid","119","D04QAC; D0C9XA",103.12,62
"Glycine ","Glycine","750","D0M8AB",75.07,42
"(±)-Epinephrine ","Epinephrine","5816","D04PHC",183.2,154
"(±)-Octopamine hydrochloride ","Octopamine","4581","D0L9YS",153.18,111
"Tyramine hydrochloride ","Tyramine","5610","D0C5RZ",137.18,87
"Melatonin ","Melatonin","896","D0AN7B",232.28,270
"Histamine ","Histamine","774","D04USC",111.15,64
"choline chloride","choline","305","D08DAE",104.17,46
"L-Glutamic acid","Glutamic acid","33032","D00ENY",147.13,145
"DL-Norepinephrine hydrochloride ","DL-Norepinephrine","951",NA,169.18,142
"(+)-Pseudoephedrine ","Pseudoephedrine","7028","D00HHS",165.23,121
"2-Amino-1-phenylethanol","2-Amino-1-phenylethanol","1000",NA,137.18,89
"Adenosine ","Adenosine","60961","D06IAR",267.24,335
"Diphenhydramine hydrochloride","Diphenhydramine","3100","D01FGR",255.35,211
"Arachidonylethanolamide ","Arachidonylethanolamide","5281969","D0A9PS",347.5,408
"Pergolide mesylate salt","Pergolide","47811","D04JCN",314.5,388
"R-(?)-Deprenyl hydrochloride ","Deprenyl","5195","D0Y8AN",187.28,195
"Benserazide hydrochloride ","Benserazide","2327","D0X8ED",257.24,278
"Flumazenil ","Flumazenil","3373","D0D5GD",303.29,461
"Fexofenadine hydrochloride ","Fexofenadine","3348","D01KPV",501.7,678
"Terfenadine  ","Terfenadine","5405","D08SOF",471.7,582
"Loratadine ","Loratadine","3957","D06ABF",382.9,569
"Thioperamide maleate salt ","Thioperamide","3035905","D05FYA",292.4,322
"CGS 15943","CGS 15943","2690","D0Q6WX",285.69,373
"Ifenprodil tartrate","Ifenprodil","3689","D0I0DL",325.4,353
"Naftopidil 2HCl","Naftopidil","4418","D04DKH",392.5,483
"RS 17053 HCl","RS 17053","9824953",NA,449.4,513
"3-[2-[4-(2-Methoxyphenyl)piperazin-1-yl]ethyl]-1,5-dimethylpyrimido[5,4-B]indole-2,4-dione","3-[2-[4-(2-Methoxyphenyl)piperazin-1-yl]ethyl]-1,5-dimethylpyrimido[5,4-B]indole-2,4-dione","3416533",NA,447.5,727
"Etonitazenyl isothiocyanate","Etonitazenyl isothiocyanate","134688335",NA,455.6,531
"DIPPA hydrochloride","DIPPA","45073425",NA,484.9,595
"ICI 199,441 HCl","ICI 199,441","3082717",NA,427.8,449
"BD 1008","BD 1008","126388",NA,301.3,257
"IPAG","IPAG","4239764",NA,395.28,386
"DPPE fumarate","DPPE","45073473",NA,399.5,369
"CPCCOEt","CPCCOEt","6278000","D01EVA",247.25,395
"MPEP hydrochloride","MPEP","3025961","D0IO8J",193.24,251
"PHCCC","PHCCC","5866327","D0H6BG",294.3,486
"SIB 1757","SIB 1757","5218788","D05TFE",213.23,238
"SIB 1893","SIB 1893","5311432","D0Q6VH",195.26,203
"MG-624","MG-624","6433339",NA,451.4,339
"Buspirone hydrochloride ","Buspirone","2477","D0U2OO",385.5,529
"Promethazine HCl","Promethazine","4927","D0T2XU",284.4,298
"3-Deazaadenosine","3-Deazaadenosine","23190","D0I7TN",266.25,334
"Maprotiline HCl","Maprotiline","4011","D03KQF",277.4,339
"Amoxapine","Amoxapine","2170","D09IOI",313.8,424
"Homochlorcyclizine 2HCl","Homochlorcyclizine","3627",NA,314.9,321
"Ivermectin","Ivermectin","6321424","D09YHJ",875.1,1680
"Methoctramine 4HCl","Methoctramine","107759","D06UXW",728.7,519
"N-(N-Benzylpiperidin-4-YL)-4-iodobenzamide","N-(N-Benzylpiperidin-4-YL)-4-iodobenzamide","132995",NA,420.3,368
"2-(alpha-Naphthoyl)-ethyltrimethylammonium iodide","2-(alpha-Naphthoyl)-ethyltrimethylammonium","11957648",NA,369.24,292
"ellipticine","ellipticine","3213","D00DNY",246.31,342
"biochaninA","biochaninA","5280373","D0S9YX",284.26,424
"dyclonine","dyclonine","3180","D04QLR",289.4,292
"cedrol","cedrol","65575",NA,222.37,321
"5-flucytosine","5-flucytosine","3366","D0S5WG",129.09,208
"amiprilose","amiprilose","121928","D07MEL",305.37,337
"gemfibrozil","gemfibrozil","3463","D05VIX",250.33,273
"warfarin","warfarin","54678486","D0E3OF",308.3,502
"prazosin","prazosin","4893","D0WV3U",383.4,544
"ketanserin","ketanserin","3822","D08VRO",395.4,627
"flavoxate","flavoxate","3354","D0ND2J",391.5,631
"oxybutynin","oxybutynin","4634","D0F5LH",357.5,490
"phenothiazine","phenothiazine","7108",NA,199.27,187
"ranitidine","ranitidine","3001055","D0B8WN",314.41,347
"furosemide","furosemide","3440","D0PQ3G",330.74,481
"donepezil","donepezil","3152","D0NS6H",379.5,510
"tamsulosin","tamsulosin","129211","D05MBZ",408.5,539
"omeprazole","omeprazole","4594","D01XNB",345.4,453
"sildenafil","sildenafil","135398744","D0Z7ZM",474.6,838
"tadalafil","tadalafil","110635","D05MQK",389.4,702
"vardenafil","vardenafil","135400189","D0C9SY",488.6,854
"DL-alpha-Methyl-p-tyrosine","DL-alpha-Methyl-p-tyrosine","3125","D03ZDX",195.21,211
"N-Phenylanthranilic acid","N-Phenylanthranilic acid","4386","D03APP",213.23,236
"S(-)-p-Bromotetramisole oxalate","p-Bromotetramisole","5121",NA,283.19,274
"5-Aminovaleric acid hydrochloride","5-Aminovaleric acid","138",NA,117.15,72
"(±)-Nipecotic acid","Nipecotic acid","4498","D0RF2M",129.16,114
"Azelaic acid","Azelaic acid","2266","D0E4WR",188.22,147
"Tryptamine hydrochloride","Tryptamine","1150","D08CJK",160.22,147
"5-Fluoroindole-2-carboxylic acid","5-Fluoroindole-2-carboxylic acid","1820","D06BFH",179.15,222
"3-Bromo-7-Nitroindazole","3-Bromo-7-Nitroindazole","1649","D0X5QJ",242.03,220
"(+)-Bromocriptine methanesulfonate","Bromocriptine","31101","D06YFA",654.6,1230
"O6-benzylguanine","O6-benzylguanine","4578","D0B5BG",241.25,271
"N-Bromoacetamide","N-Bromoacetamide","4353",NA,137.96,44
"(?)-Brompheniramine Maleate","Brompheniramine","6834","D08VXO",319.24,249
"Benzamil Hydrochloride","Benzamil","108107","D02ACL",319.75,413
"L-Buthionine-sulfoximine","Buthionine-sulfoximine","119565",NA,222.31,284
"DL-Buthionine-[S,R]-sulfoximine","DL-Buthionine-[S,R]-sulfoximine","21157","D0Z6VR",222.31,284
"6-Methoxy-1,2,3,4-Tetrahydro-9H-Pyrido[3,4B] Indole","6-Methoxy-1,2,3,4-Tetrahydro-9H-Pyrido[3,4B] Indole","1868","D0J3SN",202.25,234
"S-(4-Nitrobenzyl)-6-thioguanosine","(4-Nitrobenzyl)-6-thioguanosine","57339679",NA,422.4,644
"Atropine sulfate","Atropine","174174","D0RG3O",289.4,353
"Atropine methyl nitrate","Atropine methyl nitrate","657381",NA,366.4,406
"Arcaine sulfate","Arcaine","2227","D0S6HI",172.23,145
"1-Aminocyclopropanecarboxylic acid hydrochloride","1-Aminocyclopropanecarboxylic acid","535",NA,101.1,106
"Bumetanide","Bumetanide","2471","D0R7HO",364.4,528
"Betaine hydrochloride","Betaine","247","D0XB8P",117.15,87
"Betaine aldehyde chloride","Betaine aldehyde","249",NA,102.15,63
"Benazoline oxalate","Benazoline","19662",NA,243.67,299
"Bwb70C","Bwb70C","5353454","D0HJ1Y",316.33,411
"5-Bromo-2-deoxyuridine","5-Bromo-2-deoxyuridine","6035","D0M4MA",307.1,386
"Acetamide","Acetamide","178","D0S6KY",59.07,33
"N-(4-Aminobutyl)-5-chloro-2-naphthalenesulfonamide hydrochloride","N-(4-Aminobutyl)-5-chloro-2-naphthalenesulfonamide","4299",NA,312.8,397
"L-azetidine-2-carboxylic acid","azetidine-2-carboxylic acid","17288",NA,101.1,91
"p-Aminoclonidine hydrochloride","p-Aminoclonidine","2216","D0MT0M",245.11,247
"3-aminobenzamide","3-aminobenzamide","1645","D0K2PD",136.15,136
"4-Amino-1,8-naphthalimide","4-Amino-1,8-naphthalimide","1720","D03JTS",212.2,342
"*(U)Reserpine","Reserpine","5770","D0J4JM",608.7,1000
"(±)-Baclofen","Baclofen","2284","D01AJY",213.66,191
"SB 202190","SB 202190","5169","D0VC0I",331.3,415
"Bay 11-7085","Bay 11-7085","5353432",NA,249.33,420
"Betaxolol hydrochloride","Betaxolol","2369","D03ROX",307.4,286
"Benzamidine hydrochloride","Benzamidine","2332","D07SFI",120.15,104
"Betamethasone","Betamethasone","9782","D0CW1P",392.5,805
"Aminophylline ethylenediamine","Aminophylline ethylenediamine","9433","D03TYI",420.43,273
"S-(p-Azidophenacyl)glutathione","(p-Azidophenacyl)glutathione","443120",NA,466.5,750
"Aminopterin","Aminopterin","169371","D0D2RN",440.4,674
"N-Acetyl-5-hydroxytryptamine","N-Acetyl-5-hydroxytryptamine","903","D0F9ZW",218.25,257
"Aurintricarboxylic acid","Aurintricarboxylic acid","2259",NA,422.3,841
"(±)-2-Amino-4-phosphonobutyric acid","2-Amino-4-phosphonobutyric acid","2207","D00IGI",183.1,187
"N-arachidonylglycine","N-arachidonylglycine","5283389","D01ZHW",361.5,476
"Brefeldin A from Penicillium brefeldianum","Brefeldin A from Penicillium brefeldianum","11957469",NA,280.36,401
"Budesonide","Budesonide","5281004","D0Y7IU",430.5,862
"8-Bromo-cAMP sodium","8-Bromo-cAMP","32014",NA,408.1,532
"Benztropine mesylate","Benztropine mesylate","3246155",NA,403.5,433
"Ro 20-1724","Ro 20-1724","5087","D07FHZ",278.35,312
"Bestatin hydrochloride","Bestatin","72172","D0RA5Q",308.37,367
"Bretylium tosylate","Bretylium tosylate","6100",NA,414.4,349
"BRL 50481 ","BRL 50481","2921148","D00MBG",244.27,355
"3-Azido-3-deoxythymidine","3-Azido-3-deoxythymidine","5726",NA,267.24,484
"Acetyl-beta-methylcholine chloride","Acetyl-beta-methylcholine","1993",NA,160.23,138
"5-azacytidine","5-azacytidine","9444","D09FAZ",244.2,384
"5-(N-Ethyl-N-isopropyl)amiloride","5-(N-Ethyl-N-isopropyl)amiloride","1795","D0V5NZ",299.76,372
"3-Aminopropionitrile fumarate","3-Aminopropionitrile","1647","D7ZXE5",70.09,49
"Apigenin","Apigenin","5280443","D00RIX",270.24,411
"W-7 hydrochloride","W-7","124887",NA,377.3,424
"BP 897","BP 897","3038495","D0EE6L",417.5,549
"(E)-5-(2-Bromovinyl)-2-deoxyuridine","5-(2-Bromovinyl)-2-deoxyuridine","446727","D0Z9LP",333.13,450
"BRL 15572","BRL 15572","3654103","D04TVG",406.9,451
"Chloroethylclonidine dihydrochloride","Chloroethylclonidine","104973","D05QTJ",335.7,328
"6-Fluoronorepinephrine hydrochloride","6-Fluoronorepinephrine","1862","D09CUJ",187.17,170
"Bromoacetyl alprenolol menthane","Bromoacetyl alprenolol menthane","11957482",NA,481.5,557
"Benoxathian hydrochloride","Benoxathian","2325",NA,361.5,374
"Phenoxybenzamine Hydrochloride","Phenoxybenzamine","4768","D0X2DK",303.8,262
"Gabaculine hydrochloride","Gabaculine","173685",NA,139.15,206
"AC 915 oxalate","AC 915","5236783",NA,302.2,295
"AA-861","AA-861","1967","D06XRQ",326.4,692
"9-Amino-1,2,3,4-tetrahydroacridine hydrochloride","9-Amino-1,2,3,4-tetrahydroacridine","1935","D0E6YQ",198.26,229
"Finasteride","Finasteride","57363","D08IWD",372.5,678
"1-Aminobenzotriazole","1-Aminobenzotriazole","1367","D07ANY",134.14,127
"3-Amino-1-propanesulfonic acid sodium","3-Amino-1-propanesulfonic acid","1646","D09DLP",139.18,133
"Bupropion hydrochloride","Bupropion","444","D0X4ZR",239.74,247
"(-)-Bicuculline methbromide, 1(S), 9(R)","Bicuculline methbromide","6852386",NA,462.3,655
"*(D)(?)-Bay K 8644","Bay K 8644","2303","D01RAD",356.3,634
"Bromoacetylcholine bromide","Bromoacetylcholine bromide","11957478",NA,305.01,131
"BMY 7378 dihydrochloride","BMY 7378","210172",NA,458.4,547
"R(+)-6-Bromo-Apb Hydrobromide","6-Bromo-Apb","11957483",NA,455.2,399
"BTCP hydrochloride","BTCP","123692","D07CQD",299.5,344
"DAPH","DAPH","1697","D03QTP",329.4,453
"O-(Carboxymethyl)hydroxylamine hemihydrochloride","O-(Carboxymethyl)hydroxylamine hemihydrochloride","2723609",NA,218.59,52
"5-(N,N-Dimethyl)amiloride hydrochloride","5-(N,N-Dimethyl)amiloride","1793",NA,257.68,317
"Azathioprine","Azathioprine","2265","D07QCE",277.27,354
"Acyclovir","Acyclovir","135398513","D0B5MP",225.2,308
"Sandoz 58-035","Sandoz 58-035","122215",NA,465.8,505
"(±)-2-Amino-3-phosphonopropionic acid","2-Amino-3-phosphonopropionic acid","3857",NA,169.07,174
"L-Arginine","Arginine","6322","D0F5DO",174.2,176
"BU224 hydrochloride","BU224","2457","D0A4AB",197.24,262
"B-HT 933 dihydrochloride","B-HT 933","169743",NA,254.15,176
"(±)-Butaclamol hydrochloride","Butaclamol","37459","D0O7DA",361.5,553
"BRL 37344 sodium","BRL 37344","9841972","D0Y1PG",363.8,401
"BRL 54443 maleate","BRL 54443","2438","D0Q5SL",230.31,263
"Bw 723C86","Bw 723C86","5311036","D00ZCU",322.9,315
"Chlorambucil","Chlorambucil","2708","D0V8QT",304.2,250
"Citicoline sodium","Citicoline","13804","D02CFP",488.32,821
"(±)-2-Amino-7-phosphonoheptanoic acid","2-Amino-7-phosphonoheptanoic acid","3122","D0OZ2F",225.18,226
"(±)-2-Amino-5-phosphonopentanoic acid","2-Amino-5-phosphonopentanoic acid","1216","D09ISB",197.13,200
"L-732,138","732,138","132837","D08ZBV",472.4,677
"Acetylsalicylic acid","Acetylsalicylic acid","2244","D0GY5Z; D07DPI",180.16,212
"5-(N-Methyl-N-isobutyl)amiloride","5-(N-Methyl-N-isobutyl)amiloride","73314",NA,299.76,372
"Acetylthiocholine chloride","Acetylthiocholine","20544",NA,162.28,117
"4-Androsten-4-ol-3,17-dione","4-Androsten-4-ol-3,17-dione","3408",NA,302.4,590
"2-(2-Aminoethyl)isothiourea dihydrobromide","2-(2-Aminoethyl)isothiourea dihydrobromide","5940",NA,281.02,63
"Ciprofibrate","Ciprofibrate","2763","D0EJ6O",289.15,333
"6-Chloromelatonin","6-Chloromelatonin","1858","D0B8PD",266.72,301
"Carmustine","Carmustine","2578","D01OXI",214.05,156
"PK 11195","PK 11195","1345","D01KPW; D0VN4K",352.9,457
"Caffeic Acid","Caffeic Acid","689043","D0V9EN",180.16,212
"Cilostazol","Cilostazol","2754","D03VPC",369.5,485
"Caffeine","Caffeine","2519","D0B3HD; D0H9IX",194.19,293
"Cyclophosphamide monohydrate","Cyclophosphamide","2907","D0CT9C",261.08,212
"N-Acetylprocainamide hydrochloride","N-Acetylprocainamide","4342","D04BQR",277.36,308
"Sodium Taurocholate","Sodium Taurocholate","23666345","D03BZN",537.7,897
"Amifostine","Amifostine","2141","D06CIE",214.23,152
"Acetazolamide","Acetazolamide","1986","D0E1SW",222.3,297
"Arecoline hydrobromide","Arecoline","2230","D07EFM",155.19,187
"A-315456","A-315456","6603710","D0A0JU",345.5,545
"Gr 4661","Gr 4661","6160690",NA,377.5,514
"2-Hydroxysaclofen","2-Hydroxysaclofen","1564","D0T8SD",265.71,321
"CGP-7930","CGP-7930","5024764",NA,292.5,309
"Cgp-13501","Cgp-13501","3519541",NA,290.4,333
"CP55940","CP55940","104895","D0D6OH",376.6,408
"L-Cycloserine","Cycloserine","6234","D02WFK",102.09,92
"Ml-9","Ml-9","108047",NA,361.3,451
"(+)-Catechin Hydrate","Catechin","9064","D0V7AA",290.27,364
"Chlorpropamide","Chlorpropamide","2727","D00BCP",276.74,345
"1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid","1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid","4059895",NA,343.8,438
"Actinonin","Actinonin","443600","D0T2IQ",385.5,498
"Methotrexate","Methotrexate","126941","D0SV8E",454.4,704
"Atropine Methyl Bromide","Atropine Methyl Bromide","656597",NA,384.3,387
"*(S)Amperozide Hydrochloride","Amperozide","73333","D0V4JO",401.5,461
"Aminoguanidine hemisulfate","Aminoguanidine","2146","D0V0NL",74.09,41
"Agmatine sulfate","Agmatine","199","D0K7CV",130.19,85
"4-Aminobenzamidine dihydrochloride","4-Aminobenzamidine","1725",NA,135.17,125
"3-Aminopropylphosphonic acid","3-Aminopropylphosphonic acid","97587","D04LZJ",139.09,98
"Chlorprothixene hydrochloride","Chlorprothixene","667467","D0B0CP",315.9,381
"Choline bromide","Choline bromide","74724",NA,184.07,46
"Ceramide","Ceramide","74945544",NA,582,568
"CB 1954","CB 1954","89105","D07ZHV",252.18,385
"Carcinine dihydrochloride","Carcinine","2574","D06ZBV",182.22,162
"Corticosterone","Corticosterone","5753","D03TNT",346.5,638
"Carboplatin","Carboplatin","426756","D0X7HM",371.25,177
"Cortisone","Cortisone","222786","D0IX6I",360.4,724
"N-Acetyl-L-Cysteine","N-Acetyl-L-Cysteine","12035","D06XGW",163.2,148
"L-2-aminoadipic acid","2-aminoadipic acid","469",NA,161.16,157
"N-Acetyltryptamine","N-Acetyltryptamine","70547",NA,202.25,230
"(±)-Atenolol","Atenolol","2249","D01UXC",266.34,263
"5alpha-Androstane-3alpha,17beta-diol","5alpha-Androstane-3alpha,17beta-diol","15818",NA,292.5,422
"L-allylglycine","allylglycine","14044",NA,115.13,101
"H-9 dihydrochloride","H-9","3544","D0C8BV",251.31,339
"Chelerythrine chloride","Chelerythrine","2703","D0T9ZL",348.4,516
"1-(2-Chlorophenyl)-1-(4-Chlorophenyl)-2,2-Dichloroethane","1-(2-Chlorophenyl)-1-(4-Chlorophenyl)-2,2-Dichloroethane","4211","D0Z5OE",320,248
"(±)-Chlorpheniramine maleate","Chlorpheniramine","2725","D0B7NG",274.79,249
"Cortisone 21-acetate","Cortisone 21-acetate","5745","D0X4RS",402.5,827
"Cephalosporin C zinc salt","Cephalosporin C","65536","D0O4TL",415.4,737
"CGP-74514A hydrochloride","CGP-74514A","11957495",NA,422.4,481
"Cyproterone acetate","Cyproterone acetate","9880",NA,416.9,903
"Dl-P-Chlorophenylalanine Methyl Ester Hydrochloride","Dl-P-Chlorophenylalanine Methyl Ester","26532",NA,213.66,191
"6-Aminohexanoic acid","6-Aminohexanoic acid","564","D0FD0H",131.17,83
"ATPO","ATPO","4615193","D03VBJ",322.25,419
"Allopurinol","Allopurinol","135401907","D04KYY",136.11,190
"4-(2-Aminoethyl)benzenesulfonyl fluoride hydrochloride","4-(2-Aminoethyl)benzenesulfonyl fluoride","1701",NA,203.24,239
"Ancitabine hydrochloride","Ancitabine","25051",NA,225.2,394
"Alprenolol hydrochloride","Alprenolol","2119","D01VAB",249.35,231
"*(D)Cyclosporin A","Cyclosporin A","5284373",NA,1202.6,2330
"8-(4-Chlorophenylthio)-cAMP sodium","8-(4-Chlorophenylthio)-cAMP","91636",NA,471.8,693
"Calmidazolium chloride","Calmidazolium","2531","DW56QV",652.2,742
"GR 113808","GR 113808","119376","D08JLW",393.5,599
"Captopril","Captopril","44093","D0I0EG",217.29,244
"Cns-1102","Cns-1102","60839","D01HTH",339.9,406
"Altretamine","Altretamine","2123","D02LPF",210.28,148
"N-Acetyldopamine monohydrate","N-Acetyldopamine","100526",NA,195.21,196
"BW 284c51","BW 284c51","11957453",NA,566.4,501
