"cid","tid","indication","approval"
2230,"D07EFM","Parkinson disease","Phase 1"
6234,"D02WFK","Tuberculosis","Approved"
6234,"D02WFK","Bacterial infection","Approved"
6234,"D02WFK","Obsessive compulsive disorder","Phase 2"
2727,"D00BCP","Non-insulin dependent diabetes","Approved"
126941,"D0SV8E","leukaemia","Approved"
126941,"D0SV8E","Solid tumour/cancer","Phase 3"
126941,"D0SV8E","Proliferative vitreoretinopathy","Phase 3"
126941,"D0SV8E","Rheumatoid arthritis","Phase 1"
126941,"D0SV8E","Prostate cancer","Investigative"
73333,"D0V4JO","Alcohol dependence","Terminated"
2146,"D0V0NL","Diabetic retinopathy","Phase 1"
2146,"D0V0NL","Rheumatoid arthritis","Discontinued in Phase 2"
2146,"D0V0NL","Insulin-resistant disorder","Discontinued in Phase 2"
667467,"D0B0CP","Psychotic disorder","Approved"
89105,"D07ZHV","Solid tumour/cancer","Discontinued in Phase 2"
426756,"D0X7HM","Ovarian cancer","Approved"
222786,"D0IX6I","Atopic dermatitis","Approved"
12035,"D06XGW","Liver disease","Approved"
2249,"D01UXC","Hypertension","Approved"
4211,"D0Z5OE","Adrenocortical carcinoma","Approved"
2725,"D0B7NG","Allergic rhinitis","Approved"
5745,"D0X4RS","Solid tumour/cancer","Approved"
564,"D0FD0H","Bleeding disorder","Approved"
564,"D0FD0H","Postoperative hemorrhage","Approved"
135401907,"D04KYY","Hyperuricaemia","Approved"
2119,"D01VAB","Hypertension","Withdrawn from market"
2531,"DW56QV","Huntington disease","Investigative"
44093,"D0I0EG","Hypertension","Approved"
60839,"D01HTH","Ischemic stroke","Investigative"
2123,"D02LPF","Ovarian cancer","Approved"
5831,"D0U7BW","Glaucoma/ocular hypertension","Approved"
2733,"D08ZEB","Acute pain","Approved"
6024,"D01PLN","Bacterial infection","Approved"
2756,"D02DPA","Acid-reflux disorder","Approved"
2895,"D01KHH","Depression","Approved"
2562,"D09VBC","Cough","Approved"
1794,"D02YIW","Coronavirus infection","Preclinical"
2145,"D0M6DO","Cushing disease","Approved"
2179,"D0G9YH","Acute lymphoblastic leukaemia","Approved"
27447,"D0Z5EM","Bacterial infection","Approved"
2720,"D0M9WM","Congestive heart failure","Approved"
33255,"D09KDN","Bacterial infection","Approved"
2782,"D06XDJ","Hepatitis C virus infection","Phase 1"
2370,"D07ZTO","Urinary retention","Approved"
1547484,"D0Q3YO","Vertigo meniere disease","Approved"
2196,"D02DPU","Cerebrovascular ischaemia","Approved"
5479530,"D07ACT","Bacterial infection","Approved"
854019,"D0TY5N","Insecticide","Approved"
5312115,"D07WHS","Obesity","Phase 2"
2812,"D09GOS","Fungal infection","Approved"
2913,"D00TLN","Rhinitis","Approved"
42008,"D05UBX","Bacterial infection","Approved"
2796,"D0J5DC","Dysbetalipoproteinemia","Approved"
6253,"D07XSN; D0XU9F","Acute lymphoblastic leukaemia","Approved"
6253,"D07XSN; D0XU9F","Acute leukaemia","Investigative"
51039,"D0PW7C","Bacterial infection","Approved"
1989,"D07WFK","Diabetic complication","Approved"
9417,"D0D7TB","Anxiety disorder","Approved"
5944,"D0Z2RA","Molluscum contagiosum infection","Approved"
2803,"D03SKR","Hypertension","Approved"
2803,"D03SKR","Diabetic neuropathy","Phase 3"
5742673,"D0D1HA","Bacterial infection","Approved"
20469,"D07DVK","Allergic rhinitis","Approved"
20469,"D07DVK","Asthma","Approved"
656575,"D0XQ0Q","Pseudomonas infection","Approved"
38103,"D06KKS","Bacterial infection","Approved"
2762,"D07UXP","Urinary tract infection","Approved"
2576,"D05PLH","Musculoskeletal disorder","Approved"
6604009,"D00VPT","Schizoaffective disorder","Preclinical"
6604009,"D00VPT","Schizophrenia","Preclinical"
26987,"D0C5XC","Allergic rhinitis","Approved"
6167,"D09DHY","Acute gouty arthritis","Approved"
2910,"D03CNS","Congestive heart failure","Approved"
24360,"D09YDM","Solid tumour/cancer","Phase 3"
9294,"D0LG8E","Asthma","Approved"
3202,"D0S5LH","Myasthenia gravis","Approved"
3194,"D0B1FE; D0X6SJ","Reperfusion injury","Approved"
34359,"D0P7JZ","Parkinson disease","Approved"
3291,"D0Q4XQ","Epilepsy","Approved"
448042,"D0B5LF","Myocardial infarction","Approved"
448042,"D0B5LF","Asthma","Terminated"
2717,"D0S1OE","Anxiety disorder","Approved"
5983,"D09JVV","Xerostomia","Discontinued in Phase 2"
176157,"D04KWH","Depression","Investigative"
5757,"D08QMX","Breast cancer","Approved"
5870,"D00ZFP","Menopausal and postmenopausal disorder","Approved"
3331,"D05KON","Epilepsy","Approved"
3000226,"D0X7XG","Bacterial infection","Approved"
3000226,"D0X7XG","MRSA infection","Phase 3"
3343,"D04XEG","Asthma","Approved"
3035850,"D0U0KR","Hepatocellular carcinoma","Phase 2"
3035850,"D0U0KR","Hepatitis C virus infection","Phase 1/2"
36811,"D0J7RK","Heart failure","Approved"
2968,"D05QNO","Muscle spasm","Approved"
2966,"D0MP5H","Hypertension","Approved"
3339,"D07XGR; D01PKG","High cholesterol level","Approved"
3339,"D07XGR; D01PKG","Hyperlipidaemia","Phase 3"
3385,"D05LEO","Solid tumour/cancer","Approved"
3385,"D05LEO","Tumour","Investigative"
3385,"D05LEO","Colorectal cancer","Investigative"
3341,"D0R6BI","Hypertension","Approved"
5360696,"D09OBB","Cough","Approved"
47936,"D0Y7VM","Solid tumour/cancer","Investigative"
5702160,"D0K0OZ","Peptic ulcer","Approved"
5469318,"D00KTV","Lung cancer","Phase 2"
5469318,"D00KTV","Non-small-cell lung cancer","Discontinued in Phase 2"
5469318,"D00KTV","Pancreatic cancer","Discontinued in Phase 1/2"
53276,"D0SD9V","Fibromyalgia","Phase 2"
53276,"D0SD9V","Cancer related pain","Phase 2"
3397,"D0Y0SW","Prostate cancer","Approved"
2993,"D0I2FI","Myelopathy","Clinical trial"
3162,"D0Y2LR","Morning sickness","Approved"
2995,"D01UTL","Attention deficit hyperactivity disorder","Approved"
2995,"D01UTL","Depression","Approved"
5881,"D0K0EK","Chronic obstructive pulmonary disease","Approved"
5881,"D0K0EK","Cardiovascular disease","Phase 4"
25419,"D00HNB","Hypercalcaemia","Approved"
3410,"D04KJO","Asthma","Approved"
3333,"D0WN0U","Hypertension","Approved"
3396,"D0U5FS","Schizophrenia","Approved"
4828,"D0F2PO","Hypertension","Approved"
6603857,"D02YAQ","Breast cancer","Terminated"
135398740,"D05ARP","Virus infection","Approved"
5961,"D01JIA","Short bowel syndrome","Approved"
24066,"D0Z9QR","Human immunodeficiency virus infection","Approved"
5311070,"D0D3VT","Psychotic disorder","Phase 1/2"
5280961,"D0L4FS","Menopause symptom","Phase 2/3"
5280961,"D0L4FS","Prostate cancer","Phase 2"
6172,"D05SJW","Stabilize muscle contraction","Approved"
54680690,"D0R9WP","Bronchitis","Approved"
54680690,"D0R9WP","Acne vulgaris","Approved"
54680690,"D0R9WP","Lyme disease","Approved"
3053,"D03WLI","Radioactive tracer","Approved"
3033,"D0TG1H","Osteoarthritis","Approved"
3765,"D03KEK","Malaria","Approved"
3538,"D0A9VO","Alzheimer disease","Terminated"
3114,"D0M4YC","Ventricular arrhythmias","Approved"
3114,"D0M4YC","Urinary incontinence","Withdrawn from market"
3042,"D07XJM","Functional bowel syndrome","Approved"
3505,"D0M7BW","Neurodegenerative disorder","Terminated"
28417,"D09IPV","Menorrhagia","Approved"
28417,"D09IPV","Breast cancer","Phase 2"
3637,"D0K1XK","Hypertension","Approved"
29435,"D0S5LT","Pompe disease","Phase 3"
6047,"D08HVR","Parkinson disease","Approved"
3108,"D0F9GE; D0R4NR","Hypertension","Approved"
3108,"D0F9GE; D0R4NR","Rheumatoid arthritis","Phase 2"
5754,"D0KR5B","Inflammation","Approved"
5754,"D0KR5B","Congenital adrenal hyperplasia","Phase 2"
3639,"D0U4UQ","Hypertension","Approved"
54671203,"D0S0LZ","Chronic periodontitis","Approved"
54671203,"D0S0LZ","Advanced gum disease","Approved"
54671203,"D0S0LZ","Diabetic foot ulcer","Phase 2"
6238,"D00AEQ","Solid tumour/cancer","Approved"
5288209,"D08JAC","Macular degeneration","Phase 3"
5288209,"D08JAC","Lymphoma","Phase 2"
5288209,"D08JAC","Peripheral T-cell lymphoma","Phase 2"
5288209,"D08JAC","Solid tumour/cancer","Phase 2"
5288209,"D08JAC","Tumour","Phase 1"
1242,"D0OU7P","Type-2 diabetes","Terminated"
3657,"D07CWD","Chronic myelogenous leukaemia","Approved"
197835,"D0L1JW","Haemostatic astringent","Approved"
3151,"D0AV3G","Gastrointestinal disease","Approved"
4943,"D0A3HB","Anaesthesia","Approved"
60703,"D0S8CI","Multiple sclerosis","Phase 2"
154417,"D0RD5W","Gastrointestinal disease","Approved"
785,"D03UOT","Melasma","Approved"
3308,"D0N1WU","Pain","Approved"
3671,"D03QJL","Castleman's disease","Approved"
3671,"D03QJL","Amyotrophic lateral sclerosis","Phase 2"
3671,"D03QJL","Alcohol dependence","Phase 2"
3671,"D03QJL","Methamphetamine dependence","Phase 2"
3671,"D03QJL","Opioid dependence","Phase 2"
3671,"D03QJL","Multiple sclerosis","Phase 2"
53708,"D0E0SW","Congestive heart failure","Approved"
36462,"D0B7EB","Solid tumour/cancer","Approved"
3277,"D0J6LN","Neurodegenerative disorder","Phase 2"
10219,"D07DJQ","Hepatitis virus infection","Approved"
42890,"D01XDL","Acute myeloid leukaemia","Approved"
4170,"D01WLC","Edema","Approved"
4170,"D01WLC","Hypertension","Approved"
3779,"D0I8FI","Heart block","Approved"
3779,"D0I8FI","Melanoma","Phase 1"
3672,"D0R1QE","Pain","Approved"
55245,"D0Z4EI","Cushing disease","Approved"
4032,"D0V8HA","Essential hypertension","Approved"
4054,"D01JEU","Alzheimer disease","Approved"
3715,"D0R1RS","Rheumatoid arthritis","Approved"
54675783,"D08LTU","Bacterial infection","Approved"
54675783,"D08LTU","Rosacea","Phase 2"
4922,"D04HQT","Influenza virus infection","Phase 2"
38853,"D0BA6T","Hypertension","Approved"
9681,"D0O6GC","Migraine","Approved"
3682,"D04DJS","Gastric adenocarcinoma","Phase 3"
3682,"D04DJS","HER2-positive breast cancer","Phase 3"
132787,"D0P2QO","Anxiety disorder","Phase 2"
23897,"D09TPF","Schizophrenia","Approved"
123683,"D0Y6ZK","Solid tumour/cancer","Phase 3"
123683,"D0Y6ZK","Psoriasis vulgaris","Phase 3"
123683,"D0Y6ZK","Plaque psoriasis","Phase 2/3"
123683,"D0Y6ZK","Rheumatoid arthritis","Phase 2"
4273754,"D0YZ8I","Organ transplant rejection","Patented"
4495,"D0C0JT","Metastatic colorectal cancer","Terminated"
4495,"D0C0JT","Non-small-cell lung cancer","Terminated"
4495,"D0C0JT","Non-hodgkin lymphoma","Terminated"
456201,"D0B4IF","Fungal infection","Approved"
3826,"D0D9JW","Postoperative inflammation","Approved"
3825,"D0W9WF","Musculoskeletal pain","Approved"
3825,"D0W9WF","Pain","Phase 3"
3825,"D0W9WF","Migraine","Phase 2"
3825,"D0W9WF","Osteoarthritis","Phase 1"
3827,"D0YG7M","Allergic conjunctivitis","Approved"
3074827,"D0VX5O","Cocaine addiction","Phase 2"
5360515,"D0PG8O","Alcohol dependence","Approved"
5360515,"D0PG8O","Human immunodeficiency virus infection","Phase 4"
4477,"D0J9ZR","Cestodes infection","Approved"
54682505,"D0M1WN","Cerebrovascular ischaemia","Terminated"
3965,"D0LR4B","Inflammation","Approved"
3869,"D0A8XN","Hypertension","Approved"
3885,"D0W0VD","Solid tumour/cancer","Phase 2"
4421,"D07JGT","Urinary tract infection","Approved"
5311304,"D01KQA","Pain","Approved"
5311304,"D01KQA","Prurigo nodularis","Phase 2/3"
5311304,"D01KQA","Uremic pruritus","Phase 2/3"
71398,"D0U3YB","Prostate cancer","Approved"
9872389,"D0Q8RX","Miscarriage","Discontinued in Phase 1"
3948,"D02KOF","Bacterial infection","Approved"
101616,"D01IVE","Substance use disorder","Phase 2"
39562,"D09SIR","Benign prostatic hyperplasia","Discontinued in Phase 3"
89594,"D0T8GD","Nicotine dependence","Approved"
89594,"D0T8GD","Tobacco dependence","Clinical trial"
4436,"D0O6IZ","Itching","Approved"
4436,"D0O6IZ","Hyperaemia","Approved"
39836,"D0D3AI","Hypertension","Phase 2"
4543,"D04WFD","Depression","Approved"
3899,"D08ROP","Arthritis","Approved"
3899,"D08ROP","Multiple sclerosis","Approved"
4350931,"D07YLK","Schizophrenia","Preclinical"
275196,"D0Y8AW","Solid tumour/cancer","Phase 1/2"
68617,"D0K0TC","Depression","Approved"
4515,"D0B7BX","Schizophrenia","Terminated"
3960,"D0Y7WL","Pancreatic malfunction","Terminated"
5359371,"D04QWE","Narcotic depression","Approved"
2405,"D0K3ZR","Hypertension","Approved"
3932,"D08YHS","Cognitive impairment","Phase 3"
4168,"D08VYV","Nausea","Approved"
156391,"D0DJ1B","Osteoarthritis","Approved"
156391,"D0DJ1B","Pain","Phase 2"
156391,"D0DJ1B","Endometriosis","Investigative"
3272524,"D02VKC","Neurological disorder","Phase 1"
3406,"D02NJA","Athylene glycol or methanol poisoning","Approved"
4810,"D0E9PK","Alcohol dependence","Approved"
460612,"D00FGO","Multiple myeloma","Approved"
460612,"D00FGO","Intrahepatic cholangiocarcinoma","Phase 3"
4636,"D09EBS","Eye inflammation","Approved"
4636,"D09EBS","Nasal congestion","Approved"
91505,"D0R1DH","Urinary incontinence","Approved"
4626,"D0Z4BV","Dementia","Approved"
439501,"D0AR3J","Heart failure","Approved"
439501,"D0AR3J","Atrial fibrillation","Approved"
4184,"D0R6RO","Depression","Approved"
3651377,"D0K2ER","Asthma","Discontinued in Phase 2"
8226,"D05AHE","Spontaneous abortion","Approved"
4601,"D0D9FV","Parkinson disease","Approved"
4583,"D03NHW","Bacterial infection","Approved"
4615,"D0AJ5L","Hay fever","Approved"
4614,"D0M9DC","Rheumatoid arthritis","Approved"
5353788,"D08VXL","Angina pectoris","Approved"
104762,"D0G5AG","Transplant rejection","Approved"
5994,"D07BSQ","Premature labour","Approved"
5994,"D07BSQ","Contraception","Phase 3"
4671,"D07ILQ","Attention deficit hyperactivity disorder","Approved"
28693,"D0UA0I","Hyperprolactinaemia","Approved"
4380,"D09QDP","Parkinson disease","Approved"
4380,"D09QDP","Skin imperfections","Patented"
54677470,"D0G7FJ","Arthritis","Approved"
4946,"D04JEE","Migraine","Approved"
31304,"D0KR9U","Respiratory distress syndrome","Approved"
4740,"D03XTA; D09QEI","Intermittent claudication","Approved"
4037,"D08IFL","Ankylosing spondylitis","Approved"
4037,"D08IFL","Joint pain","Approved"
4197,"D0Y9ZE","Congestive heart failure","Approved"
4260,"D0A7QN","Erectile dysfunction","Approved"
40632,"D02WCI","Idiopathic pulmonary fibrosis","Approved"
126402,"D01KIU","Aging skin","Terminated"
4680,"D0NJ3V","Spasm","Approved"
4171,"D0I2MK","Hypertension","Approved"
60663,"D0W8XT","Glioblastoma multiforme","Phase 1"
60663,"D0W8XT","Ovarian cancer","Withdrawn from market"
1234,"D00ERV","Asthma","Phase 2"
1234,"D00ERV","Hypertension","Discontinued in Phase 1"
5850,"D0IX1A","Hypotension","Approved"
135403829,"D04JTY","Malaria","Investigative"
135403829,"D04JTY","Urinary tract infection","Investigative"
5702198,"D0U5HU","Solid tumour/cancer","Approved"
5702198,"D0U5HU","Osteosarcoma","Phase 2"
10607,"D0D4HN","External genital and perianal wart","Approved"
10607,"D0D4HN","Condyloma","Approved"
10607,"D0D4HN","Verruca vulgaris","Approved"
6603931,"D01QYQ","Asthma","Investigative"
66414,"D06NYA; D0E6VS","Pulmonary arterial hypertension","Phase 2"
6058,"D0V0LB","Nephropathic cystinosis","Approved"
6082,"D09GYT","Hypertension","Approved"
4212,"D0R3JB","Solid tumour/cancer","Approved"
