"cid","tid","TARGETID","UNIPROID","TARGNAME","GENENAME","TARGTYPE","BIOCLASS"
3371,"D0B2WJ","T66665","PGH2_HUMAN","Prostaglandin G/H synthase 2 (COX-2)","PTGS2","Successful target","Paired donor oxygen oxidoreductase"
135403792,"D05OEV","T18978","PK2L1_HUMAN","Polycystic kidney disease 2-like 1 (TRPP2)","PKD2L1","Literature-reported target",NA
6914273,"D0I8DD","T89883",NA,"Ryanodine receptor (RYR)",NA,NA,NA
4552,"D09BVL","T67063","KCMB4_HUMAN","Charybdotoxin receptor beta-4 (BKbeta4)","KCNMB4","Clinical trial target",NA
4932,"D0J2KV","T12819","COP1_HUMAN","E3 ubiquitin-protein ligase COP1 (RFWD2)","RFWD2","Successful target","Acyltransferase"
3667,"D02MYV","T67172",NA,"Volume regulated chloride channel (VRAC)",NA,"Literature-reported target","Chloride channel"
16231,"D0I0RJ","T55094","ASIC1_HUMAN","Acid-sensing ion channel 1 (ASIC1)","ASIC1","Successful target","Amiloride-sensitive sodium channel"
104955,"D0HQ1W","T45993",NA,"Calcium channel unspecific (CaC)",NA,NA,NA
9884487,"D0C4JX","T34123","SCNBA_HUMAN","Voltage-gated sodium channel alpha Nav1.9 (SCN11A)","SCN11A","Successful target","Voltage-gated ion channel"
4549,"D08DQL","T84040","TRPA1_HUMAN","Transformation-sensitive protein p120 (TRPA1)","TRPA1","Successful target","Transient receptor potential catioin channel"
4549,"D08DQL","T50066","CLCN2_HUMAN","Chloride channel protein 2 (CLC-2)","CLCN2","Successful target","Chloride channel"
4549,"D08DQL","T05089","ANO1_HUMAN","Calcium-dependent chloride channel anoctamin (ANO)","ANO1","Successful target",NA
4549,"D08DQL","T67172",NA,"Volume regulated chloride channel (VRAC)",NA,"Literature-reported target","Chloride channel"
4549,"D08DQL","T98600",NA,"Permeability pathway (NP pathway)",NA,"Literature-reported target",NA
39186,"D0OB1J","T84316","CA2D1_HUMAN","Voltage-gated calcium channel alpha-2/delta-1 (CACNA2D1)","CACNA2D1","Successful target","Voltage-gated ion channel"
3019,"D07WEP","T67952",NA,"Potassium channel unspecific (KC)",NA,NA,NA
1775,"D0E4DW","T29303",NA,"Sodium channel unspecific (NaC)",NA,NA,NA
2130,"D02KRS","T95678","M2_I34A1","Influenza M2 protein (Influ M)","Influ M","Successful target","Influenza viruses matrix protein"
2351,"D0Y4JJ","T45993",NA,"Calcium channel unspecific (CaC)",NA,NA,NA
3488,"D05LYX","T91480","ABCC8_HUMAN","ATP-binding cassette transporter C8 (ABCC8)","ABCC8","Successful target","ABC transporter"
5505,"D06OIV","T91480","ABCC8_HUMAN","ATP-binding cassette transporter C8 (ABCC8)","ABCC8","Successful target","ABC transporter"
5505,"D06OIV","T02777","ABCC9_HUMAN","ATP-binding cassette transporter C9 (ABCC9)","ABCC9","Successful target","ABC transporter"
11057730,"D0YA8J","T02546","SCN4A_HUMAN","Voltage-gated sodium channel alpha Nav1.4 (SCN4A)","SCN4A","Clinical trial target","Voltage-gated ion channel"
4488,"D00HGB","T66665","PGH2_HUMAN","Prostaglandin G/H synthase 2 (COX-2)","PTGS2","Successful target","Paired donor oxygen oxidoreductase"
3748,"D08CNS","T83875","AOFA_HUMAN","Monoamine oxidase type A (MAO-A)","MAOA","Successful target","CH-NH(2) donor oxidoreductase"
3748,"D08CNS","T83011","AOFB_HUMAN","Monoamine oxidase type B (MAO-B)","MAOB","Successful target","CH-NH(2) donor oxidoreductase"
3675,"D0P9AC","T83011","AOFB_HUMAN","Monoamine oxidase type B (MAO-B)","MAOB","Successful target","CH-NH(2) donor oxidoreductase"
3675,"D0P9AC","T62151",NA,"Monoamine oxidase (MAO)",NA,NA,NA
5533,"D00USF","T78709","5HT1A_HUMAN","5-HT 1A receptor (HTR1A)","HTR1A","Successful target","GPCR rhodopsin"
5533,"D00USF","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
4205,"D05ZIK","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
4236,"D07HQC","T55959","SC6A3_HUMAN","Dopamine transporter (DAT)","SLC6A3","Successful target","Neurotransmitter:sodium symporter"
4528,"D06BPG","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
2771,"D0R6LF; D0Y5DO","T77913","HRH1_HUMAN","Histamine H1 receptor (H1R)","HRH1","Successful target","GPCR rhodopsin"
2771,"D0R6LF; D0Y5DO","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
3386,"D0TR5X","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
5324346,"D03HFG","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
43815,"D06GDY","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
5365247,"D0C1XS","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
68870,"D06CVT","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
4976,"D00MYQ","T21945","SC6A2_HUMAN","Norepinephrine transporter (NET)","SLC6A2","Successful target","Neurotransmitter:sodium symporter"
4449,"D0X7DE","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
3121,"D0Y3KG","T76910","GSK3A_HUMAN","Glycogen synthase kinase-3 alpha (GSK-3A)","GSK3A","Successful target","Kinase"
3121,"D0Y3KG","T65755",NA,"Histone deacetylase (HDAC)",NA,NA,NA
2554,"D04MSM","T29303",NA,"Sodium channel unspecific (NaC)",NA,NA,NA
3878,"D03FLC","T34123","SCNBA_HUMAN","Voltage-gated sodium channel alpha Nav1.9 (SCN11A)","SCN11A","Successful target","Voltage-gated ion channel"
3446,"D0J0ZS","T42446","GABR1_HUMAN; GABR2_HUMAN","Gamma-aminobutyric acid B receptor (GABBR)","GABBR1; GABBR2","Successful target","GPCR glutamate"
34312,"D0QL3P","T34123","SCNBA_HUMAN","Voltage-gated sodium channel alpha Nav1.9 (SCN11A)","SCN11A","Successful target","Voltage-gated ion channel"
4917,"D0B2UZ","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
5452,"D0U1OE","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
5568,"D05NOS","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
3559,"D0D1AL","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
3168,"D03CJL","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
5074,"D0K8NW","T38338","CAC1B_HUMAN","Voltage-gated calcium channel alpha Cav2.2 (CACNA1B)","CACNA1B","Successful target","Voltage-gated ion channel"
5074,"D0K8NW","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
5074,"D0K8NW","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
5074,"D0K8NW","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
5074,"D0K8NW","T75984",NA,"5-HT 2 receptor (5HT2R)",NA,NA,"GPCR rhodopsin"
5074,"D0K8NW","T85605",NA,"5-HT receptor (5HTR)",NA,NA,"GPCR rhodopsin"
3455,"D0N2HF","T55959","SC6A3_HUMAN","Dopamine transporter (DAT)","SLC6A3","Successful target","Neurotransmitter:sodium symporter"
49381,"D0F8TG","T16691","5HT6R_HUMAN","5-HT 6 receptor (HTR6)","HTR6","Clinical trial target","GPCR rhodopsin"
49381,"D0F8TG","T79062","5HT7R_HUMAN","5-HT 7 receptor (HTR7)","HTR7","Clinical trial target","GPCR rhodopsin"
58144,"D0BQ8M","T22118","DRD1_HUMAN","Dopamine D1 receptor (D1R)","DRD1","Successful target","GPCR rhodopsin"
58144,"D0BQ8M","T30802","CALY_HUMAN","Neuron-specific vesicular protein calcyon (CALY)","CALY","Discontinued target",NA
6603703,"D0P2YS","T22118","DRD1_HUMAN","Dopamine D1 receptor (D1R)","DRD1","Successful target","GPCR rhodopsin"
133008,"D0WU9R","T24983","DRD4_HUMAN","Dopamine D4 receptor (D4R)","DRD4","Successful target","GPCR rhodopsin"
133008,"D0WU9R","T02551","DRD3_HUMAN","Dopamine D3 receptor (D3R)","DRD3","Successful target","GPCR rhodopsin"
133008,"D0WU9R","T76937","SCN3A_HUMAN","Voltage-gated sodium channel alpha Nav1.3 (SCN3A)","SCN3A","Successful target","Voltage-gated ion channel"
133008,"D0WU9R","T29303",NA,"Sodium channel unspecific (NaC)",NA,NA,NA
5025739,"D03TNA","T24983","DRD4_HUMAN","Dopamine D4 receptor (D4R)","DRD4","Successful target","GPCR rhodopsin"
6005,"D0H6QU","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
5070,"D0H0KB","T34123","SCNBA_HUMAN","Voltage-gated sodium channel alpha Nav1.9 (SCN11A)","SCN11A","Successful target","Voltage-gated ion channel"
127151,"D0N8FQ","T21945","SC6A2_HUMAN","Norepinephrine transporter (NET)","SLC6A2","Successful target","Neurotransmitter:sodium symporter"
65833,"D09VGC","T21945","SC6A2_HUMAN","Norepinephrine transporter (NET)","SLC6A2","Successful target","Neurotransmitter:sodium symporter"
2160,"D0Y5UG","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
2160,"D0Y5UG","T21945","SC6A2_HUMAN","Norepinephrine transporter (NET)","SLC6A2","Successful target","Neurotransmitter:sodium symporter"
2801,"D0ZS8P","T27812","SC6A4_HUMAN","Serotonin transporter (SERT)","SLC6A4","Successful target","Neurotransmitter:sodium symporter"
667477,"D06FES","T77913","HRH1_HUMAN","Histamine H1 receptor (H1R)","HRH1","Successful target","GPCR rhodopsin"
3696,"D06ZUK","T21945","SC6A2_HUMAN","Norepinephrine transporter (NET)","SLC6A2","Successful target","Neurotransmitter:sodium symporter"
5284627,"D07VDZ","T73495","GRIK1_HUMAN","Glutamate receptor ionotropic kainate 1 (GRIK1)","GRIK1","Successful target","Glutamate-gated ion channel"
2726,"D01ZII","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
3372,"D0P5SA","T07806","5HT1B_HUMAN","5-HT 1B receptor (HTR1B)","HTR1B","Successful target","GPCR rhodopsin"
4748,"D02HED","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
135398737,"D0Z1RV","T24983","DRD4_HUMAN","Dopamine D4 receptor (D4R)","DRD4","Successful target","GPCR rhodopsin"
9915956,"D0Q1ER","T07806","5HT1B_HUMAN","5-HT 1B receptor (HTR1B)","HTR1B","Successful target","GPCR rhodopsin"
1797,"D0C3EX","T07806","5HT1B_HUMAN","5-HT 1B receptor (HTR1B)","HTR1B","Successful target","GPCR rhodopsin"
1797,"D0C3EX","T11072","5HT1D_HUMAN","5-HT 1D receptor (HTR1D)","HTR1D","Successful target","GPCR rhodopsin"
3292447,"D0D9YW","T78709","5HT1A_HUMAN","5-HT 1A receptor (HTR1A)","HTR1A","Successful target","GPCR rhodopsin"
3292447,"D0D9YW","T07806","5HT1B_HUMAN","5-HT 1B receptor (HTR1B)","HTR1B","Successful target","GPCR rhodopsin"
3292447,"D0D9YW","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
3292447,"D0D9YW","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
3292447,"D0D9YW","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
3292447,"D0D9YW","T11072","5HT1D_HUMAN","5-HT 1D receptor (HTR1D)","HTR1D","Successful target","GPCR rhodopsin"
3456,"D07OOI","T74456","AGTR1_HUMAN","Angiotensin II receptor type-1 (AGTR1)","AGTR1","Successful target","GPCR rhodopsin"
3456,"D07OOI","T55959","SC6A3_HUMAN","Dopamine transporter (DAT)","SLC6A3","Successful target","Neurotransmitter:sodium symporter"
3028194,"D5MF8Y","T76910","GSK3A_HUMAN","Glycogen synthase kinase-3 alpha (GSK-3A)","GSK3A","Successful target","Kinase"
3028194,"D5MF8Y","T70977","GSK3B_HUMAN","Glycogen synthase kinase-3 beta (GSK-3B)","GSK3B","Clinical trial target","Kinase"
44259,"D0E3TC","T78429","IKKB_HUMAN","Inhibitor of nuclear factor kappa-B kinase beta (IKKB)","IKBKB","Clinical trial target","Kinase"
44259,"D0E3TC","T88318",NA,"Protein kinase C (PRKC)",NA,"Clinical trial target","Kinase"
312145,"D0P1JI","T67849","PK3CD_HUMAN","PI3-kinase delta (PIK3CD)","PIK3CD","Successful target","Kinase"
312145,"D0P1JI","T95913","PK3CG_HUMAN","PI3-kinase gamma (PIK3CG)","PIK3CG","Successful target","Kinase"
3062316,"D0E6XR","T12499","LCK_HUMAN","LCK tyrosine protein kinase (LCK)","LCK","Successful target","Kinase"
3062316,"D0E6XR","T85943","SRC_HUMAN","Proto-oncogene c-Src (SRC)","SRC","Successful target","Kinase"
3062316,"D0E6XR","T17980","FYN_HUMAN","Fyn tyrosine protein kinase (FYN)","FYN","Successful target","Kinase"
3062316,"D0E6XR","T38284","BCR_HUMAN-ABL1_HUMAN","Fusion protein Bcr-Abl (Bcr-Abl)","BCR-ABL1","Successful target","Kinase"
216239,"D0W5HK","T59328","EGFR_HUMAN","Epidermal growth factor receptor (EGFR)","EGFR","Successful target","Kinase"
216239,"D0W5HK","T57700","KIT_HUMAN","Tyrosine-protein kinase Kit (KIT)","KIT","Successful target","Kinase"
216239,"D0W5HK","T80975","VGFR2_HUMAN","Vascular endothelial growth factor receptor 2 (KDR)","KDR","Successful target","Kinase"
216239,"D0W5HK","T59102","PGFRB_HUMAN","Platelet-derived growth factor receptor beta (PDGFRB)","PDGFRB","Successful target","Kinase"
151194,"D0P6DJ","T59328","EGFR_HUMAN","Epidermal growth factor receptor (EGFR)","EGFR","Successful target","Kinase"
151194,"D0P6DJ","T80975","VGFR2_HUMAN","Vascular endothelial growth factor receptor 2 (KDR)","KDR","Successful target","Kinase"
151194,"D0P6DJ","T80782","VGFR1_HUMAN","VEGFR1 messenger RNA (VEGFR1 mRNA)","FLT1","Successful target","mRNA target"
151194,"D0P6DJ","T07303","VGFR3_HUMAN","Vascular endothelial growth factor receptor 3 (FLT-4)","FLT4",NA,"Kinase"
5329102,"D0R0MW; D0YX2B","T80975","VGFR2_HUMAN","Vascular endothelial growth factor receptor 2 (KDR)","KDR","Successful target","Kinase"
5329102,"D0R0MW; D0YX2B","T59102","PGFRB_HUMAN","Platelet-derived growth factor receptor beta (PDGFRB)","PDGFRB","Successful target","Kinase"
5291,"D0AZ3C","T57700","KIT_HUMAN","Tyrosine-protein kinase Kit (KIT)","KIT","Successful target","Kinase"
5291,"D0AZ3C","T33765","MCL1_HUMAN","Mcl-1 messenger RNA (MCL-1 mRNA)","MCL1","Successful target","mRNA target"
5291,"D0AZ3C","T38284","BCR_HUMAN-ABL1_HUMAN","Fusion protein Bcr-Abl (Bcr-Abl)","BCR-ABL1","Successful target","Kinase"
5291,"D0AZ3C","T52624",NA,"Platelet-derived growth factor receptor (PDGFR)",NA,NA,NA
160355,"D05ADP","T49898","CDK1_HUMAN","Cyclin-dependent kinase 1 (CDK1)","CDK1","Clinical trial target","Kinase"
160355,"D05ADP","T70176","CDK2_HUMAN","Cyclin-dependent kinase 2 (CDK2)","CDK2","Clinical trial target","Kinase"
160355,"D05ADP","T58449","CDK7_HUMAN","Cyclin-dependent kinase 7 (CDK7)","CDK7","Clinical trial target","Kinase"
160355,"D05ADP","T70508",NA,"Cyclin-dependent kinase (CDK)",NA,"Clinical trial target",NA
6918454,"D0B9BU","T12499","LCK_HUMAN","LCK tyrosine protein kinase (LCK)","LCK","Successful target","Kinase"
6918454,"D0B9BU","T12808","KPCA_HUMAN","Protein kinase C alpha (PRKCA)","PRKCA","Successful target","Kinase"
6918454,"D0B9BU","T79798","MK12_HUMAN","MAP kinase p38 (MAPK12)","MAPK12","Successful target","Kinase"
6918454,"D0B9BU","T51282","ROCK1_HUMAN","Rho-associated protein kinase 1 (ROCK1)","ROCK1","Successful target","Kinase"
6918454,"D0B9BU","T67619","AKT1_HUMAN","RAC-alpha serine/threonine-protein kinase (AKT1)","AKT1","Clinical trial target","Kinase"
6918454,"D0B9BU","T70977","GSK3B_HUMAN","Glycogen synthase kinase-3 beta (GSK-3B)","GSK3B","Clinical trial target","Kinase"
6918454,"D0B9BU","T62449","CHK1_HUMAN","Checkpoint kinase-1 (CHK1)","CHEK1","Clinical trial target","Kinase"
6918454,"D0B9BU","T94479","KS6B1_HUMAN","Ribosomal protein S6 kinase beta-1 (S6K1)","RPS6KB1","Clinical trial target","Kinase"
6918454,"D0B9BU","T58970","MK01_HUMAN","Extracellular signal-regulated kinase 2 (ERK2)","MAPK1","Clinical trial target","Kinase"
6918454,"D0B9BU","T40097","MK08_HUMAN","Stress-activated protein kinase JNK1 (JNK1)","MAPK8","Clinical trial target","Kinase"
6918454,"D0B9BU","T55729","MK11_HUMAN","Stress-activated protein kinase 2b (p38 beta)","MAPK11","Clinical trial target","Kinase"
6918454,"D0B9BU","T65864","MK14_HUMAN","Stress-activated protein kinase 2a (p38 alpha)","MAPK14","Clinical trial target","Kinase"
6918454,"D0B9BU","T64682","SGK1_HUMAN","Serine/threonine-protein kinase Sgk1 (SGK1)","SGK1","Clinical trial target","Kinase"
6918454,"D0B9BU","T06031","M3K1_HUMAN","MAPK/ERK kinase kinase 1 (MAP3K1)","MAP3K1","Clinical trial target","Kinase"
6918454,"D0B9BU","T76508","M3K2_HUMAN","MAPK/ERK kinase kinase 2 (MAP3K2)","MAP3K2","Clinical trial target","Kinase"
9829523,"D07NVU","T74312","FLT3_HUMAN","Fms-like tyrosine kinase 3 (FLT-3)","FLT3","Successful target","Kinase"
9829523,"D07NVU","T47107","KPCG_HUMAN","Protein kinase C gamma (PRKCG)","PRKCG","Successful target","Kinase"
126565,"D0V9WF","T74312","FLT3_HUMAN","Fms-like tyrosine kinase 3 (FLT-3)","FLT3","Successful target","Kinase"
153999,"D0W3LI","T89515","DEFM_HUMAN","Polypeptide deformylase (PDF)","PDF","Successful target","CH-NH donor oxidoreductase"
153999,"D0W3LI","T40276","KPCB_HUMAN","Protein kinase C beta (PRKCB)","PRKCB","Clinical trial target","Kinase"
187,"D0Q9HF","T09130",NA,"Muscarinic acetylcholine receptor (CHRM)",NA,NA,NA
439260,"D07MOX","T44068","ADRB1_HUMAN","Adrenergic receptor beta-1 (ADRB1)","ADRB1","Successful target","GPCR rhodopsin"
681,"D0T7OW","T67162","DRD2_HUMAN","Dopamine D2 receptor (D2R)","DRD2","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T78709","5HT1A_HUMAN","5-HT 1A receptor (HTR1A)","HTR1A","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T07806","5HT1B_HUMAN","5-HT 1B receptor (HTR1B)","HTR1B","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T32060","5HT2A_HUMAN","5-HT 2A receptor (HTR2A)","HTR2A","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T83813","5HT2C_HUMAN","5-HT 2C receptor (HTR2C)","HTR2C","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T31204","5HT2B_HUMAN","5-HT 2B receptor (HTR2B)","HTR2B","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T59679","5HT4R_HUMAN","5-HT 4 receptor (HTR4)","HTR4","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T11072","5HT1D_HUMAN","5-HT 1D receptor (HTR1D)","HTR1D","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T64591","5HT3A_HUMAN","5-HT 3A receptor (HTR3A)","HTR3A","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T15571","5HT5A_HUMAN","5-HT 5A receptor (HTR5A)","HTR5A","Successful target","GPCR rhodopsin"
5202,"D0F6CD","T36059","AA3R_HUMAN","Adenosine A3 receptor (ADORA3)","ADORA3","Clinical trial target","GPCR rhodopsin"
5202,"D0F6CD","T16691","5HT6R_HUMAN","5-HT 6 receptor (HTR6)","HTR6","Clinical trial target","GPCR rhodopsin"
5202,"D0F6CD","T79062","5HT7R_HUMAN","5-HT 7 receptor (HTR7)","HTR7","Clinical trial target","GPCR rhodopsin"
5202,"D0F6CD","T58940","5HT3B_HUMAN","5-HT 3B receptor (HTR3B)","HTR3B","Discontinued target","GPCR rhodopsin"
119,"D04QAC; D0C9XA","T97587","ITA4_HUMAN","Integrin alpha-4 (ITGA4)","ITGA4","Successful target","Integrin"
119,"D04QAC; D0C9XA","T51487","GBRA1_HUMAN","GABA(A) receptor alpha-1 (GABRA1)","GABRA1","Successful target","Ligand-gated ion channel"
119,"D04QAC; D0C9XA","T08910","GBRG2_HUMAN","GABA(A) receptor gamma-2 (GABRG2)","GABRG2","Successful target","Neurotransmitter receptor"
119,"D04QAC; D0C9XA","T26368","GBRA5_HUMAN","GABA(A) receptor alpha-5 (GABRA5)","GABRA5","Successful target","Ligand-gated ion channel"
119,"D04QAC; D0C9XA","T62292","GBRA3_HUMAN","GABA(A) receptor alpha-3 (GABRA3)","GABRA3","Successful target","Neurotransmitter receptor"
119,"D04QAC; D0C9XA","T80387","GBRB2_HUMAN","GABA(A) receptor beta-2 (GABRB2)","GABRB2","Successful target","Neurotransmitter receptor"
119,"D04QAC; D0C9XA","T62184","SC6A1_HUMAN","GABA transporter GAT-1 (SLC6A1)","SLC6A1","Successful target","Neurotransmitter:sodium symporter"
119,"D04QAC; D0C9XA","T42446","GABR1_HUMAN; GABR2_HUMAN","Gamma-aminobutyric acid B receptor (GABBR)","GABBR1; GABBR2","Successful target","GPCR glutamate"
