"name","cleanm","cid","tid","MolecularWeight","Complexity","inSmall","structCluster","pharma","night1_sleep","day1_sleep","night2_sleep","day2_sleep","night1_sleepBout","day1_sleepBout","night2_sleepBout","day2_sleepBout","night1_sleepLength","day1_sleepLength","night2_sleepLength","day2_sleepLength","night1_sleepLatency","day1_sleepLatency","night2_sleepLatency","day2_sleepLatency","night1_averageActivity","day1_averageActivity","night2_averageActivity","day2_averageActivity","night1_averageWaking","day1_averageWaking","night2_averageWaking","day2_averageWaking","daymean_averageWaking","nightmean_averageWaking"
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.74191,0.35592,-0.66969,0.51252,-0.44858,-0.18273,-0.6467,-0.09591,-0.22126,0.96258,-0.43359,0.94857,0.0012488,-0.26998,0.49812,-0.39773,0.54104,0.37854,0.56305,0.30606,-0.027581,1.3127,0.17459,1.2853,1.376,0.087284
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.72392,-0.23626,-0.63242,-0.28279,-0.67225,-0.54871,-0.76841,-0.54267,-0.34742,-0.04052,-0.3357,0.13349,1.2813,0.23376,0.66807,-0.021709,0.20981,0.38392,0.25334,0.26409,-0.4993,0.36088,-0.41514,0.2956,0.34793,-0.55546
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.0017463,0.2407,0.65608,0.094939,0.18682,0.20541,-0.24565,0.50575,-0.081577,0.16861,0.65239,-0.17164,-0.05327,-0.26092,-0.36504,-0.3314,-0.39105,-0.14384,-0.72258,-0.30579,-0.62444,0.11289,-0.6062,-0.36104,-0.15128,-0.78883
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.34687,-0.0024098,0.090284,0.19243,0.041515,0.096385,-0.19067,0.48397,-0.3082,0.13536,0.087088,-0.087677,0.1285,-0.17015,0.20702,-0.25481,-0.02903,0.18922,-0.36162,-0.38068,-0.30459,0.60429,-0.59165,-0.32673,0.13317,-0.55933
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.63606,1.0001,0.76325,0.24642,-0.69159,0.53662,-0.17064,0.20982,1.2596,0.97864,1.1032,0.29504,-0.48227,-0.17083,-0.4673,-0.34813,-0.44229,-0.80138,-0.63058,-0.66653,-0.26407,-0.34323,-0.19994,-0.61122,-0.54739,-0.29752
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.71432,0.51837,0.73558,-0.17691,-0.02475,0.28752,0.30563,-0.061578,0.24788,0.56021,0.69137,-0.091826,-0.40005,-0.16497,-0.44965,0.044549,-0.37734,-0.2813,-0.53567,-0.2895,-0.067471,-0.018285,0.015754,-0.4516,-0.27347,-0.05287
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.16921,0.84461,0.51186,0.14493,-0.28745,0.65081,-0.41276,0.57987,-0.064755,0.48103,0.82183,-0.20952,-0.25972,-0.23397,-0.21981,-0.18287,-0.14909,-0.38295,-0.52547,-0.35917,-0.23832,0.20563,-0.33391,-0.36708,-0.096022,-0.34611
"Control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.32173,0.68191,0.061082,0.16872,-0.18382,0.25014,0.14909,0.14875,-0.27003,0.60715,-0.048126,0.0032747,0.46933,-0.10443,-0.21609,-0.41698,-0.043667,-0.47512,-0.26991,-0.22401,-0.2775,-0.24109,-0.38015,-0.26794,-0.2773,-0.3986
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.0457,1.0874,0.61139,1.2314,-0.96614,0.62739,-0.27555,0.31942,1.8177,1.0383,0.46236,4.1665,-0.26413,0.016395,-0.088093,-0.30303,-0.73057,-0.89934,-0.1903,-0.6265,0.02292,-0.77109,0.64756,-0.29333,-0.56224,0.35658
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.0499,0.70623,0.42808,-0.02872,-0.50275,0.33668,0.93466,-0.028274,0.86057,0.28138,-0.13887,-0.019268,-0.5161,-0.35653,-0.28838,0.30331,-0.71117,-0.35375,0.48342,0.82039,0.38543,-0.085992,0.50054,0.97716,0.52715,0.60275
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.1665,0.83113,-0.028238,0.20276,-0.58895,0.55316,0.2641,0.44232,1.3782,-0.045132,-0.164,-0.021284,-0.3496,-0.28506,0.15547,-0.43954,-0.90853,-0.61066,0.43801,0.34978,-0.55865,-0.40085,0.60849,0.4721,0.054637,-0.094501
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.2185,1.0306,0.66915,0.19444,-0.80484,-0.32339,-0.20782,-0.24524,1.5251,1.8555,0.5567,0.65675,-0.45845,0.047486,0.064603,-0.36348,-1.0551,-0.78627,-0.46927,-0.14995,-0.76698,-0.54599,0.050348,-0.07394,-0.30702,-0.40619
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.59713,0.3839,0.28673,0.16351,-0.42229,-0.25941,0.36757,0.43251,0.32903,0.080413,-0.073542,-0.074269,-0.46403,0.053413,-0.23358,0.10418,-0.53807,-0.052302,-0.2154,0.1848,-0.5084,-0.0032719,-0.1958,0.314,0.1627,-0.39729
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.83838,0.80034,0.33603,0.29742,-0.80171,-0.17478,0.043253,-0.18752,1.0327,0.39959,0.051794,0.15517,-0.045606,-0.2417,-0.045816,-0.36529,-0.32706,-0.56092,0.054744,0.2189,0.58281,0.023125,0.8679,0.78319,0.44328,0.81109
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.44881,0.15921,-0.1141,0.23672,0.62351,0.20908,0.45548,0.21149,0.00022479,0.033413,-0.34886,0.39997,-0.11843,-0.39917,-0.21766,-0.46929,-0.68576,0.0068345,0.3258,0.88395,-0.89747,0.039706,0.19601,0.86531,0.47596,-0.43571
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.29036,-0.1396,-0.37328,-0.48425,0.39439,-0.064783,0.21773,-0.26521,-0.0022237,-0.33121,-0.41929,-0.41358,-0.32593,0.53909,0.024277,-0.14694,-0.43308,0.27287,0.52428,0.56259,-0.50177,0.22878,0.31937,0.37723,0.34456,-0.1582
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.29195,0.14521,0.094952,-0.063082,-0.23519,0.17472,0.7439,0.23715,0.25695,0.14439,-0.22233,-0.14889,-0.35617,0.0080525,-0.26783,-0.31456,-0.25064,-0.31822,-0.27804,-0.034073,-0.51674,-0.44901,-0.25443,-0.15106,-0.28793,-0.50119
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.78823,0.64244,-0.054384,0.18455,-0.58749,0.44742,0.12192,0.093176,0.4413,-0.093998,-0.13187,-0.10661,-0.37249,-0.35596,0.12473,-0.20343,-0.68006,-0.51311,-0.071044,-0.33854,-0.19813,-0.13328,-0.1254,-0.26105,-0.21445,-0.19918
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.090098,-0.41069,-0.36768,-0.59289,0.52301,-0.45976,0.29841,-0.77239,-0.20512,-0.037757,-0.4482,0.14943,-0.31196,-0.26263,-0.026101,0.075146,-0.25046,0.18235,1.0439,0.75505,-0.31176,-0.081983,1.3387,0.50194,0.24701,0.19412
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.1018,0.70328,0.5705,0.64843,-0.39849,0.23011,0.045588,0.080678,1.5975,0.9348,0.60007,0.75479,-0.37947,-0.33838,-0.24218,-0.071768,-0.90003,-0.43728,-0.16617,0.21799,-0.50818,-0.084852,0.59418,0.75583,0.37705,-0.072739
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.8237,0.28167,0.55406,-0.41496,-0.63166,0.16776,0.43874,-0.15451,0.99463,0.18675,0.017721,-0.36512,-0.37443,-0.24386,-0.12035,-0.19324,-0.66661,-0.28976,-0.40724,0.054273,-0.40527,-0.16137,-0.048658,-0.12511,-0.15227,-0.26361
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.5226,2.5375,1.7071,2.6799,-1.6805,-0.44436,-0.32152,-0.0055248,2.3271,4.0443,0.65836,4.1491,-0.53024,-0.43784,-0.30006,-0.38942,-1.2302,-1.6934,-1.301,-1.5966,-1.1285,-1.5108,-0.013224,-0.43821,-1.1103,-0.44476
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.2051,0.4591,0.53537,0.17921,-0.63237,0.41655,-0.07192,0.27558,1.4385,-0.059867,0.54875,-0.013155,-0.42164,-0.24493,-0.33561,-0.20828,-0.9775,-0.42982,-0.37982,-0.19996,-0.70962,-0.37935,0.045284,0.017753,-0.18355,-0.4833
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.6474,2.7502,2.0838,2.6195,-1.7087,-0.021097,-1.614,0.041665,3.8699,3.0088,3.4377,4.3842,-0.40007,-0.042983,-0.52986,-0.47109,-1.1557,-1.3983,-1.271,-0.56695,-0.043825,0.1986,-0.087872,1.9697,1.3919,-0.08434
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",-1.2178,-0.013372,0.049041,0.97328,-0.77628,-0.17027,-0.45804,0.30054,-0.26413,-0.031746,-0.022461,0.47439,1.724,-0.045285,0.92672,-0.35995,2.7447,2.0751,1.8064,0.58156,2.6838,2.5423,2.4204,1.5058,2.2001,2.899
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.0084,1.0646,-0.1861,-0.21077,-0.78972,-0.30259,0.25388,0.11251,0.88981,0.85557,-0.23262,-0.21975,-0.29591,-0.34332,-0.256,-0.42036,-0.91295,-0.81507,-0.1298,-0.25532,-0.57488,-0.083158,-0.51019,-0.51345,-0.32813,-0.65672
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.17894,0.52308,1.2687,2.0817,-0.11693,0.06269,-0.76841,-0.16969,0.092165,0.86389,4.5211,4.4979,0.59962,-0.34399,-0.33431,-0.46141,-0.28071,-1.5865,0.41789,-0.40829,-0.064543,-1.7382,1.3121,0.64735,-0.5873,0.74389
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.9833,-0.28688,-0.38562,0.026124,-0.56045,-1.065,-0.17497,-0.6398,0.61818,0.95507,-0.29101,0.82602,-0.41227,-0.29258,0.30236,-0.29545,-0.84647,-0.16002,1.4928,0.54126,-0.59741,-1.0274,1.5414,0.78677,-0.090593,0.49653
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",-1.657,0.26672,-0.29934,-0.57053,0.75804,0.63749,-1.1387,-0.52781,-0.74248,-0.053614,0.53384,-0.39806,2.0648,0.06442,0.69598,0.024156,0.73134,-0.20016,0.4388,-0.25946,0.63803,0.16154,0.49516,-0.59997,-0.3398,0.67887
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.59515,0.42632,0.52383,0.17448,-0.70859,0.24994,0.0040912,0.033726,0.51151,-0.10049,0.65182,-0.1028,-0.30692,-0.076091,-0.29983,-0.32933,-0.079313,-0.30486,0.029176,-0.15285,0.69149,-0.082841,0.83413,0.021517,0.0078483,0.92948
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",-1.326,-0.41984,-0.85105,-0.72787,-1.4696,-0.36576,-0.42321,-0.64315,-0.35161,-0.4169,-0.65905,-0.67588,-0.3883,0.047084,0.55376,-0.027071,4.7338,-0.31971,1.2801,-0.64881,4.0741,-0.68624,1.1046,-1.0565,-0.99791,3.9044
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.90768,-0.018804,0.088568,0.018061,-0.61315,-0.40595,-0.065302,0.23951,1.1156,0.58274,-0.0012534,-0.13849,-0.23859,-0.36931,0.2353,-0.16343,-0.6139,-0.18449,0.70852,-0.26024,0.026698,-0.24165,1.4131,-0.15734,-0.21585,0.73944
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.2018,0.84465,0.61834,0.11934,-1.0299,-0.012096,-0.040158,-0.26861,1.5904,1.0948,0.27646,0.30414,-0.402,-0.3255,-0.24937,-0.1945,-0.83225,-0.64524,-0.19754,0.26892,-0.20824,-0.54237,0.48644,0.2455,-0.15012,0.13555
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.2019,1.0851,0.58756,0.85516,-0.65085,0.3503,0.42521,0.40851,0.79326,0.66717,-0.00022604,0.45965,-0.45247,-0.49656,-0.2446,-0.49106,-0.93966,-0.80317,-0.17196,-0.21956,-0.13769,-0.36174,0.19915,0.29358,-0.031097,0.1282
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.0619,0.065967,-0.25048,-0.31525,-0.29221,-0.50815,0.3061,-0.51645,0.95042,0.054199,-0.30315,-0.022632,-0.38562,-0.19075,0.34785,-0.35142,-0.7921,-0.11864,0.49841,0.72345,-0.062966,-0.096412,0.44909,0.66584,0.32173,0.17931
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.3446,0.61177,-0.00077053,0.31415,-0.98855,-0.26703,-0.0056867,-0.08834,1.5213,1.0836,-0.05506,0.54279,-0.46679,-0.33875,-0.16714,-0.47473,-0.97128,-0.44577,0.24809,0.16576,0.059304,-0.16066,0.33759,0.44709,0.21862,0.26144
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.86096,0.64986,0.041839,0.52062,-0.40813,0.24726,0.56993,0.35239,0.13171,0.090824,-0.10076,0.11411,-0.45406,-0.28808,-0.35605,-0.45047,-0.74663,-0.50601,-0.14509,-0.08824,-0.83591,-0.31968,-0.15729,0.25768,-0.04244,-0.56016
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.98234,0.92557,0.68098,1.0801,-0.69976,0.21888,0.18618,0.31253,0.51866,0.29981,0.44555,0.62905,-0.29167,-0.30446,-0.3534,-0.27987,-0.92145,-0.76773,-0.57396,-0.5029,-0.73979,-0.70318,-0.15773,0.14903,-0.30605,-0.63842
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.8757,0.7096,-0.025348,0.14518,-0.20948,0.30811,0.47576,-0.141,0.67538,0.55805,-0.20438,0.30547,-0.29534,-0.33188,-0.23062,-0.46793,-0.77015,-0.34253,-0.041717,0.50656,-0.077371,0.15936,-0.11047,0.56855,0.38384,-0.11363
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.0033,0.74104,0.71425,0.95398,-0.48434,0.42346,0.46119,1.1112,0.61862,0.34681,0.32693,0.24393,-0.43954,-0.28203,-0.36504,-0.38768,-0.84623,-0.6362,-0.45141,-0.62884,-0.34697,-0.56501,0.35837,-0.27763,-0.46693,-0.028274
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.99616,0.77131,0.57853,0.48145,-0.47742,0.15801,0.61042,-0.012583,0.54943,0.68816,0.070584,0.7395,-0.44863,-0.34958,-0.516,-0.42207,-0.87052,-0.41469,-0.28173,-0.057915,-0.3667,0.16014,0.34721,0.44608,0.34808,-0.048492
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.41158,0.51329,0.37659,0.4141,-0.15355,0.56666,-0.085122,0.65512,0.19371,0.39878,0.52379,0.062644,-0.26584,-0.20131,0.47153,-0.34595,-0.24555,-0.54804,-0.58563,-0.23795,-0.30796,-0.64019,-0.5873,-0.05245,-0.30012,-0.44323
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.14989,0.31905,0.29398,0.22714,-0.16035,0.56666,0.35529,0.48951,0.318,-0.15432,0.074946,-0.074203,0.5833,-0.040262,-0.32064,-0.25964,-0.1501,-0.35773,-0.5948,-0.38971,-0.26925,-0.25802,-0.60972,-0.21415,-0.25176,-0.41944
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.075148,0.2102,0.37127,0.37993,-0.042572,-0.10553,-0.048277,-0.387,-0.24554,0.77155,-0.167,0.79977,-0.15473,0.32973,0.15847,0.04603,-0.10615,-0.080563,-0.20301,0.22814,-0.16018,0.087693,-0.13359,0.92299,0.39346,-0.18007
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.095992,-0.59149,-0.54031,-0.30691,0.28287,-0.67822,-0.46067,-0.22237,-0.23544,-0.10488,-0.27464,-0.12072,-0.16849,-0.10408,0.51734,0.06235,0.0012006,0.49991,0.62871,0.36864,-0.12294,0.23884,0.31758,0.099804,0.21671,0.11008
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.84103,0.4543,0.047425,0.69798,0.18165,0.55542,0.63036,0.55015,0.18058,0.14336,-0.2869,0.39158,-0.4764,-0.29973,-0.02358,-0.45803,-0.66705,-0.59851,-0.029597,-0.25693,-0.65041,-0.53994,-0.0079234,0.25084,-0.15429,-0.56499
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.039788,0.34217,-0.024526,0.19611,0.65003,0.32982,0.11801,0.4166,-0.21751,0.1921,-0.060184,-0.11852,-0.29434,-0.31341,0.052054,-0.038185,-0.50602,-0.32388,-0.093474,0.26093,-0.7241,-0.30876,-0.10614,0.45139,0.091308,-0.66271
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.74283,0.26148,-0.29991,0.28237,-0.1024,0.25515,0.31912,0.085216,0.60074,0.13812,-0.5386,0.044487,-0.30551,0.38087,1.0014,-0.33233,-0.76832,-0.22854,0.65855,0.22353,-0.69108,0.13768,0.59482,0.38421,0.28744,-0.20751
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.8707,0.48238,-0.025043,0.30219,-0.17642,-0.23066,-0.013553,0.062525,0.65978,0.92733,-0.087216,0.29967,-0.31607,0.32286,-0.19,-0.28604,-0.71568,0.04591,0.045296,0.39826,-0.46503,0.46535,0.063416,0.73203,0.65521,-0.31119
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.18012,0.30332,-0.36837,0.20377,-0.40071,-0.10702,-0.2025,0.029794,0.24023,0.48796,-0.20495,0.36024,-0.22277,-0.37143,0.0086756,-0.084712,-0.27325,-0.33645,0.231,-0.21082,-0.29861,-0.17282,0.11245,-0.099907,-0.14456,-0.11565
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.64469,0.1419,0.72312,0.51459,0.26598,0.58188,0.59968,0.727,0.051699,-0.25706,-0.013782,-0.034338,-0.39591,-0.022263,-0.20665,-0.25034,-0.61485,-0.017584,-0.3951,0.034545,-0.40593,0.13555,0.051815,0.23462,0.21468,-0.10857
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.36831,-0.020655,0.057103,0.32402,0.79342,0.2169,0.4489,0.66464,-0.14719,-0.090619,-0.16852,-0.069667,-0.29857,-0.23267,-0.0014698,-0.25267,-0.62354,0.084754,0.16795,-0.12245,-0.77782,0.26727,0.29565,0.090868,0.19791,-0.40692
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.42061,-0.41045,-0.26648,0.094448,0.55458,-0.39256,-0.12232,0.13199,0.15248,-0.0977,-0.2226,0.15941,-0.31658,-0.18473,0.35798,-0.35562,-0.59186,0.49412,0.48025,0.24407,-0.71941,0.39499,0.21968,0.4197,0.44593,-0.40321
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.43899,-0.19891,-0.32637,-0.47876,0.19451,0.055757,-0.33086,-0.46042,0.10904,-0.21875,-0.2388,-0.37153,-0.20825,-0.30395,0.26612,-0.08037,-0.4839,0.065878,0.33214,0.60479,-0.26956,-0.025015,0.18313,0.22421,0.13591,-0.03132
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.73419,0.45823,-0.42742,0.74793,0.091636,0.86529,0.36343,0.47651,0.25763,-0.15178,-0.48299,0.50175,-0.41675,-0.27612,0.27619,-0.38901,-0.69216,-0.36544,1.4268,0.52184,-0.29157,-0.17862,1.417,1.3188,0.78456,0.78719
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",1.0044,0.44681,0.74769,0.22947,-0.57805,0.036151,0.1895,-0.23677,1.215,1.1592,1.2266,1.0112,-0.44409,-0.021597,-0.40117,0.99786,-0.65356,-0.26294,-0.32118,0.49224,-0.41546,-0.34036,0.0157,0.29771,-0.03294,-0.25099
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.36163,0.20182,-0.32189,0.31477,0.51224,0.53344,0.42423,0.44194,-0.1315,-0.12225,-0.13767,-0.046879,-0.45406,-0.32559,0.082282,-0.28259,-0.50741,-0.1716,0.16737,0.27215,-0.53586,-0.15331,-0.0066559,0.44381,0.14743,-0.30475
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.063753,-0.58453,-0.74585,-0.28735,0.60756,-0.21568,0.126,0.098224,-0.32284,-0.3858,-0.48597,-0.30669,-0.19833,-0.28354,0.30277,0.2099,-0.25784,0.43263,0.98252,0.32321,-0.27207,0.21405,0.63708,0.29121,0.27818,0.053223
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.24336,-0.32395,-0.77721,-0.28437,0.073837,-0.28214,0.20122,-0.42564,-0.062915,-0.13411,-0.52277,-0.24032,-0.1644,-0.31044,0.64111,0.83798,-0.16648,0.38833,0.94789,0.73512,-0.039943,0.37226,0.43117,0.64937,0.56235,0.14772
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.48643,-0.41973,0.091806,-0.13776,0.15302,-0.54009,0.57719,0.14182,0.15078,-0.053152,-0.20708,-0.20716,-0.30054,-0.37898,-0.14421,-0.43791,-0.48754,0.85278,0.30604,0.55183,-0.13694,0.51275,0.5637,0.35277,0.45901,0.25232
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.82664,0.14698,0.098906,0.39483,-0.4023,-0.14398,0.0971,0.25658,0.64061,0.28388,0.059861,0.26626,-0.29534,-0.3265,-0.053474,-0.48021,-0.49943,0.21637,0.30423,0.18147,0.26511,0.19178,0.89153,0.37152,0.2976,0.69573
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.48038,-0.015524,0.077946,0.16261,0.24909,0.077424,0.579,-0.11276,0.034353,-0.10735,-0.23643,0.36443,-0.3123,-0.27781,0.11168,-0.22979,-0.47678,0.14244,0.16828,0.30217,-0.1567,0.14677,0.38355,0.55374,0.4041,0.11799
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",0.24178,-0.057891,-0.082451,0.022683,0.66424,0.29547,0.26485,0.21391,-0.18406,-0.26853,-0.15793,-0.12962,-0.21232,-0.19126,-0.11874,-0.05315,-0.51889,0.15292,0.16459,0.030122,-0.64639,0.18327,0.081095,0.035319,0.11931,-0.39862
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.68004,-0.64152,-0.36506,-0.72544,0.71042,-0.59499,-0.15421,-0.53964,-0.55394,-0.31923,-0.28897,-0.40848,-0.1213,0.28184,0.10845,0.15624,0.028784,0.78861,0.49938,0.79454,-0.12359,0.47771,0.36347,0.13999,0.29229,0.020901
"control","control",NA,NA,NA,NA,FALSE,NA,"Control",-0.40838,-0.52355,-0.26179,-0.38803,0.29544,0.070833,-0.15421,-0.18082,-0.38202,-0.46605,-0.21571,-0.36247,-0.067105,0.11273,-0.24803,-0.23839,0.010305,0.29539,0.30723,-0.061049,-0.018942,-0.053111,0.11945,-0.37911,-0.27885,0.024351
