"name","cleanm","cid","tid","nfingerprints","library","concentration","MolecularWeight","Complexity","inSmall","structCluster","pharma","day1_sleep","day2_sleep","day1_sleepBout","day2_sleepBout","day1_sleepLength","day2_sleepLength","day1_sleepLatency","day2_sleepLatency","day1_averageActivity","day2_averageActivity","day1_averageWaking","day2_averageWaking","daymean_averageWaking","night1_sleep","night2_sleep","night1_sleepBout","night2_sleepBout","night1_sleepLength","night2_sleepLength","night1_sleepLatency","night2_sleepLatency","night1_averageActivity","night2_averageActivity","night1_averageWaking","night2_averageWaking","nightmean_averageWaking"
"Lidocaine/Lidocaine hydrochloride/Lidocaine hydrochloride/LIDOCAINE HYDROCHLORIDE","Lidocaine/Lidocaine/Lidocaine/LIDOCAINE",3676,"D0X4RN",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",234.34,"228/228/228/228",FALSE,"403/403/403/403","MEMB-/MEMB-/MEMB-/MEMB-",-0.00875250000000001,0.10331575,0.29521,0.70644,-0.1983,-0.176145,0.020639,-0.38075,0.0527499999999999,-0.26286,0.0184205,-0.35529,-0.2244075,-0.1839685,0.278535,0.2204555,0.21076475,-0.2445775,0.208685,-0.07173375,-0.2196725,-0.09497125,-0.305445,-0.1930875,-0.1561725,-0.2283425
"Gingerol","Gingerol",442793,"D0Y1YR",1,"Ion Channel","15 uM",294.4,"293",FALSE,"638","CHA-iCA",0.88814,0.32316,0.066005,0.45858,1.5666,0.11454,-0.22044,-0.018763,-0.74326,-0.57727,-0.33216,-0.27494,-0.33831,0.58044,0.93862,-0.66523,-0.26934,0.7634,0.74197,-0.37505,-0.016003,-0.49847,-0.68127,0.021242,-0.10981,-0.061782
"Nimodipine/Nimodipine/Nimodipine/NIMODIPINE","Nimodipine/Nimodipine/Nimodipine/NIMODIPINE",4497,"D0XN1F",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",418.4,"736/736/736/736",FALSE,"643/643/643/643","CHA-CA-/CHA-CA-/CHA-CA-/CHA-CA-",1.87305,0.31500325,-0.7745325,0.05809,6.4724925,1.887975,1.2341625,0.5415475,-1.0771475,-0.5009475,-1.1066325,-0.624895,-0.926026,1.0295225,-0.0331725,-1.940955,-0.9954125,18.7122825,6.893085,2.6196575,2.0891375,-0.6444325,2.2357725,-0.70913425,1.897833,0.58526925
"Nicardipine/Nicardipine Hydrochloride/NICARDIPINE HYDROCHLORIDE","Nicardipine/Nicardipine/NICARDIPINE",4474,"D0T0KA",3,"Ion Channel/Prestwick/Spectrum","15 uM/15 uM/30 uM",479.5,"856/856/856",FALSE,"643/643/643","CHA-CA-/CHA-CA-/CHA-CA-",0.93273,1.46087333333333,-0.529513333333333,-0.26229,22.1337176666667,47.23012,0.311137,0.45397,-0.524393333333333,-0.76311,-0.778553333333333,-0.624006666666667,-0.770443333333333,0.1780802,1.08626666666667,-0.225756666666667,-1.45855666666667,4.39179666666667,17.6639066666667,-0.119638666666667,1.53978,-0.106556666666667,-0.289983333333333,-0.176364166666667,-0.1645,-0.34672
"PCO-400","PCO-400",129348,"D0U8IJ",1,"Ion Channel","15 uM",299.32,"544",FALSE,"120","CHA-K",0.0098987,-0.30241,-0.40537,-0.24524,0.15672,-0.24212,0.40936,-0.14461,-0.010487,-0.33786,0.40956,-0.32904,-0.023068,-0.19291,-0.10931,0.4517,0.2316,-0.33392,-0.23098,-0.24995,0.52808,-0.03559,0.066612,-0.059851,0.43166,0.25643
"Phentolamine/Phentolamine hydrochloride/phentalamine","Phentolamine/Phentolamine/phentalamine",5775,"D01JUF",3,"Ion Channel/Prestwick/EOP","15 uM/15 uM/?",281.35,"363/363/363",FALSE,"569/569/569","ADR-A-/ADR-A-/ADR-A-",0.468340666666667,1.08391,-0.111136666666667,0.34108,0.870712,1.33592666666667,0.229003333333333,-0.226706666666667,0.385292,-0.329596666666667,1.58045,0.486196666666667,1.10448,0.0759833333333333,0.909236666666667,-0.18243,-0.313886666666667,0.300128666666667,1.346674,-0.04369157,-0.0404666666666667,1.75321333333333,-0.384062333333333,7.20813666666667,0.978641666666667,5.58196233333333
"Quinidine/Quinidine hydrochloride monohydrate/quinidine","Quinidine/Quinidine/quinidine",441074,NA,3,"Ion Channel/Prestwick/Randall Peterson","15 uM/15 uM/?",324.4,"457/457/457",FALSE,"528/528/528","CHA-NA-/CHA-NA-/CHA-NA-",0.3241,0.531823333333333,0.33414,0.562436333333333,0.133282666666667,0.247310333333333,0.19578,-0.241708076666667,0.0949666666666667,-0.294597066666667,0.54715,-0.002411,0.270935,-0.00183,0.903383333333333,0.0727733333333333,-0.160153333333333,-0.0445833333333333,1.20913666666667,-0.126066666666667,-0.00638033333333332,0.59634,-0.480375,0.62734,-0.0750133333333333,0.3326
"Thapsigargin/Thapsigargin","Thapsigargin/Thapsigargin",446378,"D02KGR",2,"Ion Channel/LOPAC","15 uM/10 uM",650.8,"1270/1270",FALSE,"868/868","CHA-CA-/CHA-CA-",3.3247,3.55145,-1.69285,-1.6844,79.017,94.25,0.83414,0.455865,-1.67,-1.80235,-1.7997,-1.60275,-1.8393,2.37195,2.9945,-3.6875,-3.812,8.659,109.715,0.33735,1.763995,-1.0607,-1.68725,-1.81665,-2.63275,-2.4661
"Nitrendipine/Nitrendipine/Nitrendipine/NITRENDIPINE","Nitrendipine/Nitrendipine/Nitrendipine/NITRENDIPINE",4507,"D0A1DH",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",360.4,"661/661/661/661",FALSE,"643/643/643/643","CHA-CA-/CHA-CA-/CHA-CA-/CHA-CA-",1.914275,1.2591425,-1.0219195,-0.453055,13.79601,10.70199,2.1244825,0.6352225,-0.95935525,-0.9049625,-0.9955775,-1.0669975,-1.15409,1.05219,1.39724,-1.9333675,-2.30609,7.4113775,17.136995,1.57178,3.3314325,-0.0893975,-0.09925,-0.2238975,-0.342035,-0.339765
"Pimozide/Pimozide/Pimozide/Pimozide/pimozide/PIMOZIDE","Pimozide/Pimozide/Pimozide/Pimozide/pimozide/PIMOZIDE",16362,"D00KHM",6,"Ion Channel/LOPAC/Prestwick/Randall Peterson/EOP/Spectrum","15 uM/10 uM/15 uM/?/?/30 uM",461.5,"632/632/632/632/632/632",TRUE,"878/878/878/878/878/878","DOPA-D2-/DOPA-D2-/DOPA-D2-/DOPA-D2-/DOPA-D2-/DOPA-D2-",2.16536833333333,1.845615,-1.11070266666667,-0.886603333333333,65.3630016666667,107.180516666667,2.88471333333333,1.06161333333333,-1.01715333333333,-0.670855,-0.837076666666667,-0.403465,-0.628607333333333,1.035665,1.72133166666667,-2.09009816666667,-2.66054833333333,22.7892533333333,50.5913456666667,1.71995666666667,4.01008666666667,-0.630955,-0.275813333333333,-1.38453333333333,-0.501468333333333,-0.7439
"Penitrem A","Penitrem A",6610243,NA,1,"Ion Channel","15 uM",634.2,"1420",FALSE,"184","CHA-K",3.1726,3.3605,-1.7982,-2.0467,48.967,96.973,0.64362,1.4357,-1.4849,-1.7008,-1.0507,-0.69839,-1.018,0.31382,2.7608,-1.2789,-4.1004,0.96032,26.047,4.4517,-0.38184,0.67141,-1.2007,1.1139,-1.8522,-0.15915
"Quinine/Quinine sulfate/QUININE SULFATE","Quinine/Quinine/QUININE",3034034,"D03DDR",3,"Ion Channel/LOPAC/Spectrum","15 uM/10 uM/30 uM",324.4,"457/457/457",FALSE,"528/528/528","CHA-K-/CHA-K-/CHA-K-",0.6,0.24199,-0.0122366666666666,0.0609666666666667,0.542596666666667,0.314263033333333,-0.264423333333333,-0.32474,0.30944,0.503153333333333,1.02133333333333,0.678516666666667,0.915103333333333,0.338933333333333,0.28281,-0.0150366666666667,-0.0829233333333333,0.18265,0.0979066666666667,-0.0941533333333333,0.181803333333333,-0.166976666666667,-0.0664809,0.293836,0.15228,0.239876666666667
"Flecainide/Flecanide","Flecainide/Flecanide",3356,"D03DAP",2,"Ion Channel/Randall Peterson","15 uM/?",414.34,"500/500",TRUE,"432/432","CHA-NA-/CHA-NA-",-0.227815,-0.22319,-0.5156856,-0.858755,-0.046702,0.029495,-0.247505,-0.269205,0.644758,0.66771,0.697065,0.56588,0.694475,-0.01385,0.419465,-0.0211,-0.576915,-0.0528347,0.25579,-0.14406,0.345765,-0.196775,-0.359545,-0.282775,-0.153945,-0.28121
"TMB-8/TMB-8 hydrochloride","TMB-8/TMB-8",5494,"D01WXA",2,"Ion Channel/LOPAC","15 uM/10 uM",395.5,"388/388",FALSE,"351/351","CHA-CA-/CHA-CA-",0.62545,0.605875,0.5298315,0.720075,0.26721,0.17995,-0.290025,-0.300155,-0.436535,-0.511865,0.037942,-0.184516,-0.087736,0.388125,0.845665,0.14453,-0.054045,0.202252,0.625755,-0.23508,-0.358415,-0.31207,-0.72,-0.035894,-0.08989,-0.055825
"*(D)Sdz-202791 R(-)","Sdz-202791",122292,"D03IVC",1,"Ion Channel","15 uM",358.3,"667",TRUE,"301","CHA-CA",0.88966,1.6002,-1.0643,-1.4734,7.0739,5.0778,0.78346,0.81088,-0.43132,-0.99658,-0.7036,-1.1976,-1.0465,-0.20634,0.071048,-0.040104,-1.7922,0.50722,2.41,-0.27894,0.91793,1.6166,5.3086,1.4647,5.5961,3.4534
"Loperamide/Loperamide Hydrochloride/Loperamide Hydrochloride/LOPERAMIDE HYDROCHLORIDE","Loperamide/Loperamide/Loperamide/LOPERAMIDE",3955,"D0CS2F",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",477,"623/623/623/623",TRUE,"780/780/780/780","OPI+/OPI+/OPI+/OPI+",1.0757875,1.1438275,0.81679,1.07386,0.1285755,0.41613325,-0.2179975,-0.3230735,-0.10463575,-0.30723575,1.249775,0.467025,0.93657,0.628365,1.326775,-0.13253925,-0.604605,0.5177825,1.867775,-0.2541425,-0.0216175,-0.23340575,-0.5134875,1.182885,2.30036125,1.93451
"Tolazamide/Tolazamide/Tolazamide/TOLAZAMIDE","Tolazamide/Tolazamide/Tolazamide/TOLAZAMIDE",5503,"D09FJB",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",311.4,"431/431/431/431",FALSE,"364/364/364/364","ESTR-/ESTR-/ESTR-/ESTR-",0.302185,0.202755,0.2172945,0.270311,-0.02736725,0.0593725,0.10170475,-0.099157125,0.06169975,0.09252375,0.4211645,0.21441525,0.3389445,0.29086825,0.21633,-0.0580525,-0.1936125,0.127095,0.276424525,-0.19938875,-0.2257715,-0.29462575,-0.07594,-0.17748,0.120276975,-0.058845
"Flufenamic acid/Flufenamic acid/FLUFENAMIC ACID","Flufenamic acid/Flufenamic acid/FLUFENAMIC ACID",3371,"D0B2WJ",3,"Ion Channel/Prestwick/Spectrum","15 uM/15 uM/30 uM",281.23,"346/346/346",FALSE,"404/404/404","CHA-CA-/CHA-CA-/CHA-CA-",2.87176666666667,3.35373333333333,-1.70526666666667,-1.6764,54.1275666666667,126.404,2.0076,1.41603333333333,-1.7314,-1.9087,-1.2063,-1.97273333333333,-2.2208,1.8956,2.74966666666667,-3.12983333333333,-3.70766666666667,78.0366666666667,120.686666666667,2.39084,2.53079,-1.37366666666667,-2.07543333333333,-2.69396666666667,-3.424,-3.5252
"Phenamil","Phenamil",135403792,"D05OEV",1,"Ion Channel","15 uM",305.72,"399",TRUE,"644","CHA-NA-",1.2745,1.3476,-0.52243,-0.61613,1.5682,1.8912,-0.29251,-0.25645,-0.1434,-0.06362,2.7123,2.0251,2.6097,0.88911,1.363,-0.87967,-2.236,0.98945,2.927,-0.12621,-0.4713,0.0046532,0.025826,2.857,4.6147,4.1253
"Dantrolene/Dantrolene sodium/Dantrolene sodium salt/dantrolene","Dantrolene/Dantrolene/Dantrolene/dantrolene",6914273,"D0I8DD",4,"Ion Channel/LOPAC/Prestwick/Randall Peterson","15 uM/10 uM/15 uM/?",314.25,"524/524/524/524",FALSE,"218/218/218/218","CHA-CA-/CHA-CA-/CHA-CA-/CHA-CA-",0.630075,0.59188825,-0.23065475,-0.023455375,0.87240025,0.949454625,-0.2204725,-0.2449325,-0.411685,-0.4233425,-0.1502825,-0.16732775,-0.16860925,0.3796775,0.37827,-0.37089,-0.3924725,0.37544,0.64669,-0.1719325,-0.064995,-0.435515,-0.25379,-0.365471325,0.0569824999999999,-0.2190925
"U-50488/(±) trans-U-50488 methanesulfonate/(-)-cis-(1S,2R)-U-50488 tartrate/(+)-trans-(1R,2R)-U-50488 hydrochloride/(+)-U-50488 HCl/(-)-U-50488 HCl","U-50488/U-50488/U-50488/U-50488/U-50488/U-50488",3036289,NA,6,"Ion Channel/NA/LOPAC/LOPAC/Opioid/Opioid","15 uM/?/10 uM/10 uM/15 uM/15 uM",369.3,"428/428/428/428/428/428",FALSE,"343/343/343/343/343/343","ADH-/OPI+/ADH-/OPI+/OPI+/OPI+",0.419101,0.581652666666667,0.0291366666666667,0.299319666666667,0.272831,0.349029716666667,-0.33287,-0.268072666666667,0.113503,-0.225478333333333,0.627384833333333,0.0933233333333333,0.390598333333333,0.625878333333333,0.308850833333333,-0.178873333333333,0.243977,0.290753333333333,0.264418333333333,-0.190933366666667,-0.120936833333333,-0.546673333333333,-0.284671666666667,-0.209027216666667,-0.17383,-0.245553333333333
"NS-1619/NS-1619","NS-1619/NS-1619",4552,"D09BVL",2,"Ion Channel/LOPAC","15 uM/10 uM",362.23,"523/523",FALSE,"535/535","CHA-K+/CHA-K+",0.3743335,0.127625,0.543625,0.026985,-0.01609805,0.00229,-0.31555,-0.311435,-0.372136,0.10233,-0.35775,-0.02363,-0.2087895,-0.247755,-0.04687,0.12804,-0.310405,-0.262625,-0.0119455,-0.295551,0.117421,0.083245,-0.088477,-0.07198,-0.275356,-0.212305
"Propafenone/Propafenone Hydrochloride/Propafenone hydrochloride/(S)-(-)-propafenone hydrochloride/PROPAFENONE HYDROCHLORIDE","Propafenone/Propafenone/Propafenone/propafenone/PROPAFENONE",4932,"D0J2KV",5,"Ion Channel/LOPAC/Prestwick/LOPAC/Spectrum","15 uM/10 uM/15 uM/10 uM/30 uM",341.4,"368/368/368/368/368",FALSE,"545/545/545/545/545","CHA-K-/CHA-K-/CHA-K-/ADR-B-1-/CHA-K-",0.06598,0.05083,0.01259,0.404402,0.012129,-0.1207146,-0.0647504,0.3181366,0.373242,-0.1522556,0.44306,-0.1638566,0.136518,0.211804,-0.0483644,-0.164068,-0.2446424,0.2098472,-0.02712666,-0.1187232,0.4669354,-0.0473952,0.7992804,0.393664,0.77533066,0.6516176
"IAA-94/R(+)-IAA-94","IAA-94/IAA-94",3667,"D02MYV",2,"Ion Channel/LOPAC","15 uM/10 uM",357.2,"491/491",FALSE,"651/651","CHA/DIUR-UR+",-0.3336595,-0.188685,-0.35765,-0.293145,-0.1972535,-0.0250895,-0.19092,-0.028245,0.231105,0.258921,0.1689125,0.303047,0.2479175,-0.06498,-0.18311,-0.159075,-0.144675,-0.067318,-0.14598335,0.513645,0.326392,-0.14981,0.347995,-0.248355,0.40869,0.02944
"Amiloride/Amiloride hydrochloride/Amiloride hydrochloride dihydrate/AMILORIDE HYDROCHLORIDE","Amiloride/Amiloride/Amiloride/AMILORIDE",16231,"D0I0RJ",4,"Ion Channel/LOPAC/Prestwick/Spectrum","15 uM/10 uM/15 uM/30 uM",229.63,"279/279/279/279",FALSE,"644/644/644/644","CHA-NA-/CHA-NA-/CHA-NA-/CHA-NA-",0.12668,0.054205,-0.1367725,0.0914275,0.0781445,0.0372275,-0.04466275,0.0481785,0.428914,0.311124,0.850435,0.39595525,0.6813425,0.218825,0.252465,0.238305,0.0176075,0.00648249999999999,0.360591,0.2612565,0.05253925,0.016495,-0.04832825,0.09084,0.0941125,0.0320375
"SKF-96365","SKF-96365",104955,"D0HQ1W",1,"Ion Channel","15 uM",402.9,"393",FALSE,"445","CHA-CA-",0.61798,3.0804,0.82638,-1.2757,19.833,141.83,-0.0055071,0.93481,-1.3176,-1.7197,-1.6439,-1.9624,-2.0314,1.1762,2.2988,-1.3631,-2.1541,4.486,6.8539,0.46024,-0.63319,-1.1217,-1.8096,-1.4955,-2.3461,-2.4166
"Dichlorobenzamil/3,4-Dichlorobenzamil","Dichlorobenzamil/3,4-Dichlorobenzamil",114771,"D05IGL",2,"Ion Channel/LOPAC","15 uM/10 uM",388.6,"481/481",FALSE,"644/644","CHA-NA-K-/CHA-NA-K-",0.534225,1.025925,-0.01279,0.371615,0.747535,1.23475,-0.26743,-0.291425,0.465415,-0.303465,1.136095,0.181922,0.686525,0.61062,1.3728,-0.586235,-0.67215,1.09664,1.9637,-0.1667925,-0.2082556,-0.479365,-0.824,-0.201555,0.10251695,-0.08066
"ZM 226600","ZM 226600",5240098,NA,1,"Ion Channel","15 uM",373.3,"573",FALSE,"468","CHA-K",-0.21324,-0.5806,0.13905,-0.16068,-0.41439,-0.65921,0.42933,0.056276,0.086051,-0.11526,0.067994,-0.41648,-0.20799,-0.18399,-0.16353,-0.26293,0.16275,0.096927,-0.23376,0.72382,-0.11874,-0.15,-0.3072,-0.46112,-0.64098,-0.69654
