"cid","tid","TARGETID","keggid","keggname"
3748,"D08CNS","T83875","hsa00260","Glycine, serine and threonine metabolism"
3748,"D08CNS","T83875","hsa00330","Arginine and proline metabolism"
3748,"D08CNS","T83875","hsa00340","Histidine metabolism"
3748,"D08CNS","T83875","hsa00350","Tyrosine metabolism"
3748,"D08CNS","T83875","hsa00360","Phenylalanine metabolism"
3748,"D08CNS","T83875","hsa00380","Tryptophan metabolism"
3748,"D08CNS","T83875","hsa00982","Drug metabolism - cytochrome P450"
3748,"D08CNS","T83875","hsa01100","Metabolic pathways"
3748,"D08CNS","T83875","hsa04726","Serotonergic synapse"
3748,"D08CNS","T83875","hsa04728","Dopaminergic synapse"
3748,"D08CNS","T83875","hsa05030","Cocaine addiction"
3748,"D08CNS","T83875","hsa05031","Amphetamine addiction"
3748,"D08CNS","T83875","hsa05034","Alcoholism"
3748,"D08CNS","T83011","hsa00260","Glycine, serine and threonine metabolism"
3748,"D08CNS","T83011","hsa00330","Arginine and proline metabolism"
3748,"D08CNS","T83011","hsa00340","Histidine metabolism"
3748,"D08CNS","T83011","hsa00350","Tyrosine metabolism"
3748,"D08CNS","T83011","hsa00360","Phenylalanine metabolism"
3748,"D08CNS","T83011","hsa00380","Tryptophan metabolism"
3748,"D08CNS","T83011","hsa00982","Drug metabolism - cytochrome P450"
3748,"D08CNS","T83011","hsa01100","Metabolic pathways"
3748,"D08CNS","T83011","hsa04726","Serotonergic synapse"
3748,"D08CNS","T83011","hsa04728","Dopaminergic synapse"
3748,"D08CNS","T83011","hsa05030","Cocaine addiction"
3748,"D08CNS","T83011","hsa05031","Amphetamine addiction"
3748,"D08CNS","T83011","hsa05034","Alcoholism"
3675,"D0P9AC","T83011","hsa00260","Glycine, serine and threonine metabolism"
3675,"D0P9AC","T83011","hsa00330","Arginine and proline metabolism"
3675,"D0P9AC","T83011","hsa00340","Histidine metabolism"
3675,"D0P9AC","T83011","hsa00350","Tyrosine metabolism"
3675,"D0P9AC","T83011","hsa00360","Phenylalanine metabolism"
3675,"D0P9AC","T83011","hsa00380","Tryptophan metabolism"
3675,"D0P9AC","T83011","hsa00982","Drug metabolism - cytochrome P450"
3675,"D0P9AC","T83011","hsa01100","Metabolic pathways"
3675,"D0P9AC","T83011","hsa04726","Serotonergic synapse"
3675,"D0P9AC","T83011","hsa04728","Dopaminergic synapse"
3675,"D0P9AC","T83011","hsa05030","Cocaine addiction"
3675,"D0P9AC","T83011","hsa05031","Amphetamine addiction"
3675,"D0P9AC","T83011","hsa05034","Alcoholism"
5533,"D00USF","T78709","hsa04024","cAMP signaling pathway"
5533,"D00USF","T78709","hsa04080","Neuroactive ligand-receptor interaction"
5533,"D00USF","T78709","hsa04726","Serotonergic synapse"
5533,"D00USF","T27812","hsa04726","Serotonergic synapse"
4205,"D05ZIK","T83813","hsa04020","Calcium signaling pathway"
4205,"D05ZIK","T83813","hsa04080","Neuroactive ligand-receptor interaction"
4205,"D05ZIK","T83813","hsa04540","Gap junction"
4205,"D05ZIK","T83813","hsa04726","Serotonergic synapse"
4205,"D05ZIK","T83813","hsa04750","Inflammatory mediator regulation of TRP channels"
4236,"D07HQC","T55959","hsa04728","Dopaminergic synapse"
4236,"D07HQC","T55959","hsa05012","Parkinson's disease"
4236,"D07HQC","T55959","hsa05030","Cocaine addiction"
4236,"D07HQC","T55959","hsa05031","Amphetamine addiction"
4236,"D07HQC","T55959","hsa05034","Alcoholism"
4528,"D06BPG","T67162","hsa04015","Rap1 signaling pathway"
4528,"D06BPG","T67162","hsa04024","cAMP signaling pathway"
4528,"D06BPG","T67162","hsa04080","Neuroactive ligand-receptor interaction"
4528,"D06BPG","T67162","hsa04540","Gap junction"
4528,"D06BPG","T67162","hsa04728","Dopaminergic synapse"
4528,"D06BPG","T67162","hsa05012","Parkinson's disease"
4528,"D06BPG","T67162","hsa05030","Cocaine addiction"
4528,"D06BPG","T67162","hsa05034","Alcoholism"
2771,"D0R6LF; D0Y5DO","T77913","hsa04020","Calcium signaling pathway"
2771,"D0R6LF; D0Y5DO","T77913","hsa04080","Neuroactive ligand-receptor interaction"
2771,"D0R6LF; D0Y5DO","T77913","hsa04750","Inflammatory mediator regulation of TRP channels"
2771,"D0R6LF; D0Y5DO","T27812","hsa04726","Serotonergic synapse"
2771,"D0R6LF; D0Y5DO","T27812","hsa04726","Serotonergic synapse"
3386,"D0TR5X","T27812","hsa04726","Serotonergic synapse"
5324346,"D03HFG","T27812","hsa04726","Serotonergic synapse"
43815,"D06GDY","T27812","hsa04726","Serotonergic synapse"
5365247,"D0C1XS","T27812","hsa04726","Serotonergic synapse"
68870,"D06CVT","T27812","hsa04726","Serotonergic synapse"
4449,"D0X7DE","T83813","hsa04020","Calcium signaling pathway"
4449,"D0X7DE","T83813","hsa04080","Neuroactive ligand-receptor interaction"
4449,"D0X7DE","T83813","hsa04540","Gap junction"
4449,"D0X7DE","T83813","hsa04726","Serotonergic synapse"
4449,"D0X7DE","T83813","hsa04750","Inflammatory mediator regulation of TRP channels"
2554,"D04MSM","T29303","hsa04728","Dopaminergic synapse"
3446,"D0J0ZS","T42446","hsa04024","cAMP signaling pathway"
3446,"D0J0ZS","T42446","hsa04080","Neuroactive ligand-receptor interaction"
3446,"D0J0ZS","T42446","hsa04727","GABAergic synapse"
3446,"D0J0ZS","T42446","hsa04915","Estrogen signaling pathway"
3446,"D0J0ZS","T42446","hsa05032","Morphine addiction"
4917,"D0B2UZ","T67162","hsa04015","Rap1 signaling pathway"
4917,"D0B2UZ","T67162","hsa04024","cAMP signaling pathway"
4917,"D0B2UZ","T67162","hsa04080","Neuroactive ligand-receptor interaction"
4917,"D0B2UZ","T67162","hsa04540","Gap junction"
4917,"D0B2UZ","T67162","hsa04728","Dopaminergic synapse"
4917,"D0B2UZ","T67162","hsa05012","Parkinson's disease"
4917,"D0B2UZ","T67162","hsa05030","Cocaine addiction"
4917,"D0B2UZ","T67162","hsa05034","Alcoholism"
5452,"D0U1OE","T67162","hsa04015","Rap1 signaling pathway"
5452,"D0U1OE","T67162","hsa04024","cAMP signaling pathway"
5452,"D0U1OE","T67162","hsa04080","Neuroactive ligand-receptor interaction"
5452,"D0U1OE","T67162","hsa04540","Gap junction"
5452,"D0U1OE","T67162","hsa04728","Dopaminergic synapse"
5452,"D0U1OE","T67162","hsa05012","Parkinson's disease"
5452,"D0U1OE","T67162","hsa05030","Cocaine addiction"
5452,"D0U1OE","T67162","hsa05034","Alcoholism"
5568,"D05NOS","T31204","hsa04020","Calcium signaling pathway"
5568,"D05NOS","T31204","hsa04080","Neuroactive ligand-receptor interaction"
5568,"D05NOS","T31204","hsa04540","Gap junction"
5568,"D05NOS","T31204","hsa04726","Serotonergic synapse"
5568,"D05NOS","T31204","hsa04750","Inflammatory mediator regulation of TRP channels"
3559,"D0D1AL","T67162","hsa04015","Rap1 signaling pathway"
3559,"D0D1AL","T67162","hsa04024","cAMP signaling pathway"
3559,"D0D1AL","T67162","hsa04080","Neuroactive ligand-receptor interaction"
3559,"D0D1AL","T67162","hsa04540","Gap junction"
3559,"D0D1AL","T67162","hsa04728","Dopaminergic synapse"
3559,"D0D1AL","T67162","hsa05012","Parkinson's disease"
3559,"D0D1AL","T67162","hsa05030","Cocaine addiction"
3559,"D0D1AL","T67162","hsa05034","Alcoholism"
3168,"D03CJL","T67162","hsa04015","Rap1 signaling pathway"
3168,"D03CJL","T67162","hsa04024","cAMP signaling pathway"
3168,"D03CJL","T67162","hsa04080","Neuroactive ligand-receptor interaction"
3168,"D03CJL","T67162","hsa04540","Gap junction"
3168,"D03CJL","T67162","hsa04728","Dopaminergic synapse"
3168,"D03CJL","T67162","hsa05012","Parkinson's disease"
3168,"D03CJL","T67162","hsa05030","Cocaine addiction"
3168,"D03CJL","T67162","hsa05034","Alcoholism"
5074,"D0K8NW","T38338","hsa04010","MAPK signaling pathway"
5074,"D0K8NW","T38338","hsa04020","Calcium signaling pathway"
5074,"D0K8NW","T38338","hsa04721","Synaptic vesicle cycle"
5074,"D0K8NW","T38338","hsa04723","Retrograde endocannabinoid signaling"
5074,"D0K8NW","T38338","hsa04725","Cholinergic synapse"
5074,"D0K8NW","T38338","hsa04726","Serotonergic synapse"
5074,"D0K8NW","T38338","hsa04727","GABAergic synapse"
5074,"D0K8NW","T38338","hsa04728","Dopaminergic synapse"
5074,"D0K8NW","T38338","hsa04742","Taste transduction"
5074,"D0K8NW","T38338","hsa04930","Type II diabetes mellitus"
5074,"D0K8NW","T38338","hsa05032","Morphine addiction"
5074,"D0K8NW","T38338","hsa05033","Nicotine addiction"
5074,"D0K8NW","T32060","hsa04020","Calcium signaling pathway"
5074,"D0K8NW","T32060","hsa04080","Neuroactive ligand-receptor interaction"
5074,"D0K8NW","T32060","hsa04540","Gap junction"
5074,"D0K8NW","T32060","hsa04726","Serotonergic synapse"
5074,"D0K8NW","T32060","hsa04750","Inflammatory mediator regulation of TRP channels"
5074,"D0K8NW","T83813","hsa04020","Calcium signaling pathway"
5074,"D0K8NW","T83813","hsa04080","Neuroactive ligand-receptor interaction"
5074,"D0K8NW","T83813","hsa04540","Gap junction"
5074,"D0K8NW","T83813","hsa04726","Serotonergic synapse"
5074,"D0K8NW","T83813","hsa04750","Inflammatory mediator regulation of TRP channels"
5074,"D0K8NW","T31204","hsa04020","Calcium signaling pathway"
5074,"D0K8NW","T31204","hsa04080","Neuroactive ligand-receptor interaction"
5074,"D0K8NW","T31204","hsa04540","Gap junction"
5074,"D0K8NW","T31204","hsa04726","Serotonergic synapse"
5074,"D0K8NW","T31204","hsa04750","Inflammatory mediator regulation of TRP channels"
5074,"D0K8NW","T75984","hsa04020","Calcium signaling pathway"
5074,"D0K8NW","T75984","hsa04080","Neuroactive ligand-receptor interaction"
5074,"D0K8NW","T75984","hsa04540","Gap junction"
5074,"D0K8NW","T75984","hsa04726","Serotonergic synapse"
5074,"D0K8NW","T75984","hsa04750","Inflammatory mediator regulation of TRP channels"
3455,"D0N2HF","T55959","hsa04728","Dopaminergic synapse"
3455,"D0N2HF","T55959","hsa05012","Parkinson's disease"
3455,"D0N2HF","T55959","hsa05030","Cocaine addiction"
3455,"D0N2HF","T55959","hsa05031","Amphetamine addiction"
3455,"D0N2HF","T55959","hsa05034","Alcoholism"
49381,"D0F8TG","T16691","hsa04020","Calcium signaling pathway"
49381,"D0F8TG","T16691","hsa04024","cAMP signaling pathway"
49381,"D0F8TG","T16691","hsa04080","Neuroactive ligand-receptor interaction"
49381,"D0F8TG","T16691","hsa04726","Serotonergic synapse"
49381,"D0F8TG","T79062","hsa04014","Ras signaling pathway"
49381,"D0F8TG","T79062","hsa04020","Calcium signaling pathway"
49381,"D0F8TG","T79062","hsa04080","Neuroactive ligand-receptor interaction"
49381,"D0F8TG","T79062","hsa04726","Serotonergic synapse"
58144,"D0BQ8M","T22118","hsa04020","Calcium signaling pathway"
58144,"D0BQ8M","T22118","hsa04024","cAMP signaling pathway"
58144,"D0BQ8M","T22118","hsa04080","Neuroactive ligand-receptor interaction"
58144,"D0BQ8M","T22118","hsa04540","Gap junction"
58144,"D0BQ8M","T22118","hsa04728","Dopaminergic synapse"
58144,"D0BQ8M","T22118","hsa05012","Parkinson's disease"
58144,"D0BQ8M","T22118","hsa05030","Cocaine addiction"
58144,"D0BQ8M","T22118","hsa05031","Amphetamine addiction"
58144,"D0BQ8M","T22118","hsa05032","Morphine addiction"
58144,"D0BQ8M","T22118","hsa05034","Alcoholism"
58144,"D0BQ8M","T30802","hsa04728","Dopaminergic synapse"
6603703,"D0P2YS","T22118","hsa04020","Calcium signaling pathway"
6603703,"D0P2YS","T22118","hsa04024","cAMP signaling pathway"
6603703,"D0P2YS","T22118","hsa04080","Neuroactive ligand-receptor interaction"
6603703,"D0P2YS","T22118","hsa04540","Gap junction"
6603703,"D0P2YS","T22118","hsa04728","Dopaminergic synapse"
6603703,"D0P2YS","T22118","hsa05012","Parkinson's disease"
6603703,"D0P2YS","T22118","hsa05030","Cocaine addiction"
6603703,"D0P2YS","T22118","hsa05031","Amphetamine addiction"
6603703,"D0P2YS","T22118","hsa05032","Morphine addiction"
6603703,"D0P2YS","T22118","hsa05034","Alcoholism"
133008,"D0WU9R","T24983","hsa04080","Neuroactive ligand-receptor interaction"
133008,"D0WU9R","T24983","hsa04728","Dopaminergic synapse"
133008,"D0WU9R","T02551","hsa04080","Neuroactive ligand-receptor interaction"
133008,"D0WU9R","T02551","hsa04728","Dopaminergic synapse"
133008,"D0WU9R","T29303","hsa04728","Dopaminergic synapse"
5025739,"D03TNA","T24983","hsa04080","Neuroactive ligand-receptor interaction"
5025739,"D03TNA","T24983","hsa04728","Dopaminergic synapse"
6005,"D0H6QU","T67162","hsa04015","Rap1 signaling pathway"
6005,"D0H6QU","T67162","hsa04024","cAMP signaling pathway"
6005,"D0H6QU","T67162","hsa04080","Neuroactive ligand-receptor interaction"
6005,"D0H6QU","T67162","hsa04540","Gap junction"
6005,"D0H6QU","T67162","hsa04728","Dopaminergic synapse"
6005,"D0H6QU","T67162","hsa05012","Parkinson's disease"
6005,"D0H6QU","T67162","hsa05030","Cocaine addiction"
6005,"D0H6QU","T67162","hsa05034","Alcoholism"
2160,"D0Y5UG","T27812","hsa04726","Serotonergic synapse"
2801,"D0ZS8P","T27812","hsa04726","Serotonergic synapse"
667477,"D06FES","T77913","hsa04020","Calcium signaling pathway"
667477,"D06FES","T77913","hsa04080","Neuroactive ligand-receptor interaction"
667477,"D06FES","T77913","hsa04750","Inflammatory mediator regulation of TRP channels"
5284627,"D07VDZ","T73495","hsa04080","Neuroactive ligand-receptor interaction"
5284627,"D07VDZ","T73495","hsa04724","Glutamatergic synapse"
2726,"D01ZII","T67162","hsa04015","Rap1 signaling pathway"
2726,"D01ZII","T67162","hsa04024","cAMP signaling pathway"
2726,"D01ZII","T67162","hsa04080","Neuroactive ligand-receptor interaction"
2726,"D01ZII","T67162","hsa04540","Gap junction"
2726,"D01ZII","T67162","hsa04728","Dopaminergic synapse"
2726,"D01ZII","T67162","hsa05012","Parkinson's disease"
2726,"D01ZII","T67162","hsa05030","Cocaine addiction"
2726,"D01ZII","T67162","hsa05034","Alcoholism"
3372,"D0P5SA","T07806","hsa04024","cAMP signaling pathway"
3372,"D0P5SA","T07806","hsa04080","Neuroactive ligand-receptor interaction"
3372,"D0P5SA","T07806","hsa04726","Serotonergic synapse"
4748,"D02HED","T67162","hsa04015","Rap1 signaling pathway"
4748,"D02HED","T67162","hsa04024","cAMP signaling pathway"
4748,"D02HED","T67162","hsa04080","Neuroactive ligand-receptor interaction"
4748,"D02HED","T67162","hsa04540","Gap junction"
4748,"D02HED","T67162","hsa04728","Dopaminergic synapse"
4748,"D02HED","T67162","hsa05012","Parkinson's disease"
